data,descricao,valor,tipo,referencia
2025-01-08,RENDIMENTO POUPANÇA,2049.61,C,REF0000000001
2025-01-22,TED RECEBIDA,11206.06,C,REF0000000002
2025-01-01,PIX RECEBIDO,47259.88,C,REF0000000003
2025-01-20,PAGAMENTO CLIENTE,17530.11,C,REF0000000004
2025-01-14,PAGAMENTO CLIENTE,44921.54,C,REF0000000005
2025-01-26,RENDIMENTO POUPANÇA,35964.26,C,REF0000000006
2025-01-23,DOC RECEBIDO,60716.65,C,REF0000000007
2025-01-07,BOLETO PAGO,-27253.03,D,REF0000000008
2025-01-04,SAQUE ATM,-8221.71,D,REF0000000009
2025-01-09,TRANSFERÊNCIA ENVIADA,-67807.17,D,REF0000000010
2025-01-04,PAGAMENTO CLIENTE,58392.06,C,REF0000000011
2025-01-27,DÉBITO AUTOMÁTICO,-6350.08,D,REF0000000012
2025-01-02,TED ENVIADA,-46209.3,D,REF0000000013
2025-01-28,TED RECEBIDA,61856.81,C,REF0000000014
2025-01-09,REEMBOLSO DESPESA,69325.37,C,REF0000000015
2025-01-06,COMPRA CARTÃO,-50872.97,D,REF0000000016
2025-01-09,PAGAMENTO SALÁRIO,-28453.89,D,REF0000000017
2025-01-18,DOC RECEBIDO,48750.02,C,REF0000000018
2025-01-09,REEMBOLSO DESPESA,13114.03,C,REF0000000019
2025-01-08,PIX RECEBIDO,54784.91,C,REF0000000020
2025-01-09,REEMBOLSO DESPESA,64413.41,C,REF0000000021
2025-01-29,CRÉDITO FOLHA,16918.08,C,REF0000000022
2025-01-13,IOF,-17049.49,D,REF0000000023
2025-01-08,BOLETO PAGO,-11472.58,D,REF0000000024
2025-01-29,SAQUE ATM,-59773.75,D,REF0000000025
2025-01-17,BOLETO PAGO,-28991.62,D,REF0000000026
2025-01-28,PIX ENVIADO,-7318.21,D,REF0000000027
2025-01-26,DOC RECEBIDO,12269.66,C,REF0000000028
2025-01-13,SAQUE ATM,-47732.9,D,REF0000000029
2025-01-28,PAGAMENTO FORNECEDOR,-42352.69,D,REF0000000030
2025-01-22,TED RECEBIDA,54438.66,C,REF0000000031
2025-01-04,COMPRA CARTÃO,-61499.47,D,REF0000000032
2025-01-01,IOF,-34809.48,D,REF0000000033
2025-01-17,BOLETO PAGO,-77752.45,D,REF0000000034
2025-01-27,RENDIMENTO POUPANÇA,69647.96,C,REF0000000035
2025-01-18,DOC RECEBIDO,12269.5,C,REF0000000036
2025-01-01,TRANSFERÊNCIA RECEBIDA,47935.62,C,REF0000000037
2025-01-08,RENDIMENTO POUPANÇA,74331.43,C,REF0000000038
2025-01-31,CRÉDITO FOLHA,19307.68,C,REF0000000039
2025-01-27,TRANSFERÊNCIA RECEBIDA,6897.99,C,REF0000000040
2025-01-25,PAGAMENTO CLIENTE,78239.86,C,REF0000000041
2025-01-31,TRANSFERÊNCIA RECEBIDA,10314.9,C,REF0000000042
2025-01-14,CRÉDITO FOLHA,21241.28,C,REF0000000043
2025-01-23,SALÁRIO DEPOSITADO,74316.63,C,REF0000000044
2025-01-21,PAGAMENTO SALÁRIO,-31949.43,D,REF0000000045
2025-01-15,PAGAMENTO FORNECEDOR,-35076.1,D,REF0000000046
2025-01-11,TED RECEBIDA,19870.05,C,REF0000000047
2025-01-19,SALÁRIO DEPOSITADO,47085.28,C,REF0000000048
2025-01-08,PIX RECEBIDO,624.91,C,REF0000000049
2025-01-03,DEVOLUÇÃO BOLETO,72438.33,C,REF0000000050
2025-01-07,TRANSFERÊNCIA RECEBIDA,22314.26,C,REF0000000051
2025-01-19,CRÉDITO FOLHA,57882.04,C,REF0000000052
2025-01-26,IOF,-19477.63,D,REF0000000053
2025-01-22,TED ENVIADA,-15273.27,D,REF0000000054
2025-01-15,SAQUE ATM,-28376.09,D,REF0000000055
2025-01-02,TED RECEBIDA,53885.5,C,REF0000000056
2025-01-08,TED ENVIADA,-58270.68,D,REF0000000057
2025-01-05,TRANSFERÊNCIA RECEBIDA,15257.2,C,REF0000000058
2025-01-08,IOF,-14719.87,D,REF0000000059
2025-01-04,PAGAMENTO CLIENTE,35478.3,C,REF0000000060
2025-01-27,PAGAMENTO CLIENTE,52188.98,C,REF0000000061
2025-01-06,SALÁRIO DEPOSITADO,77521.25,C,REF0000000062
2025-01-28,TARIFA BANCÁRIA,-38877.01,D,REF0000000063
2025-01-13,BOLETO PAGO,-72200.31,D,REF0000000064
2025-01-30,RENDIMENTO POUPANÇA,78825.44,C,REF0000000065
2025-01-22,PAGAMENTO FORNECEDOR,-22855.68,D,REF0000000066
2025-01-07,DÉBITO AUTOMÁTICO,-12426.01,D,REF0000000067
2025-01-02,PAGAMENTO CLIENTE,46355.46,C,REF0000000068
2025-01-16,TRANSFERÊNCIA ENVIADA,-4620.36,D,REF0000000069
2025-01-03,PAGAMENTO CLIENTE,4597.52,C,REF0000000070
2025-01-22,TED RECEBIDA,5528.28,C,REF0000000071
2025-01-08,CRÉDITO FOLHA,32331.86,C,REF0000000072
2025-01-22,REEMBOLSO DESPESA,49569.55,C,REF0000000073
2025-01-22,TARIFA BANCÁRIA,-74779.77,D,REF0000000074
2025-01-05,SAQUE ATM,-19132.94,D,REF0000000075
2025-01-01,TED ENVIADA,-36605.1,D,REF0000000076
2025-01-04,TRANSFERÊNCIA ENVIADA,-49711.68,D,REF0000000077
2025-01-09,PAGAMENTO CLIENTE,43033.87,C,REF0000000078
2025-01-29,TED RECEBIDA,74664.09,C,REF0000000079
2025-01-15,DOC RECEBIDO,29593.69,C,REF0000000080
2025-01-17,PAGAMENTO SALÁRIO,-48953.64,D,REF0000000081
2025-01-10,PAGAMENTO CLIENTE,53445.66,C,REF0000000082
2025-01-09,DOC RECEBIDO,75117.45,C,REF0000000083
2025-01-05,PAGAMENTO CLIENTE,71182.53,C,REF0000000084
2025-01-23,TARIFA BANCÁRIA,-22576.41,D,REF0000000085
2025-01-28,PAGAMENTO SALÁRIO,-16327.61,D,REF0000000086
2025-01-29,DÉBITO AUTOMÁTICO,-40457.45,D,REF0000000087
2025-01-27,REEMBOLSO DESPESA,7429.26,C,REF0000000088
2025-01-25,COMPRA CARTÃO,-3574.74,D,REF0000000089
2025-01-06,RENDIMENTO POUPANÇA,50987.21,C,REF0000000090
2025-01-18,SAQUE ATM,-44156.85,D,REF0000000091
2025-01-18,DOC RECEBIDO,8994.32,C,REF0000000092
2025-01-18,CRÉDITO FOLHA,66775.87,C,REF0000000093
2025-01-10,PIX RECEBIDO,34411.45,C,REF0000000094
2025-01-29,PIX ENVIADO,-71923.57,D,REF0000000095
2025-01-22,TARIFA BANCÁRIA,-16845.62,D,REF0000000096
2025-01-29,PAGAMENTO CLIENTE,28326.61,C,REF0000000097
2025-01-30,BOLETO PAGO,-77908.27,D,REF0000000098
2025-01-29,DOC RECEBIDO,69175.23,C,REF0000000099
2025-01-26,COMPRA CARTÃO,-2031.67,D,REF0000000100
2025-01-09,TARIFA BANCÁRIA,-64188.7,D,REF0000000101
2025-01-13,TED RECEBIDA,63000.59,C,REF0000000102
2025-01-07,SALÁRIO DEPOSITADO,68694.53,C,REF0000000103
2025-01-08,TARIFA BANCÁRIA,-28005.19,D,REF0000000104
2025-01-11,REEMBOLSO DESPESA,52819.65,C,REF0000000105
2025-01-12,DÉBITO AUTOMÁTICO,-69155.02,D,REF0000000106
2025-01-11,PAGAMENTO FORNECEDOR,-54377.47,D,REF0000000107
2025-01-06,RENDIMENTO POUPANÇA,9271.57,C,REF0000000108
2025-01-14,TRANSFERÊNCIA ENVIADA,-3108.66,D,REF0000000109
