data,descricao,valor,tipo,referencia
2025-02-01,IOF,-70332.1,D,REF0000000501
2025-02-15,PAGAMENTO CLIENTE,75621.36,C,REF0000000502
2025-02-02,DEVOLUÇÃO BOLETO,17250.8,C,REF0000000503
2025-02-27,CRÉDITO FOLHA,22544.44,C,REF0000000504
2025-02-28,PIX ENVIADO,-22895.58,D,REF0000000505
2025-02-24,RENDIMENTO POUPANÇA,34502.68,C,REF0000000506
2025-02-02,COMPRA CARTÃO,-61120.35,D,REF0000000507
2025-02-07,PAGAMENTO FORNECEDOR,-4140.06,D,REF0000000508
2025-02-13,TED ENVIADA,-44280.17,D,REF0000000509
2025-02-27,DÉBITO AUTOMÁTICO,-61164.11,D,REF0000000510
2025-02-13,TED RECEBIDA,10336.64,C,REF0000000511
2025-02-18,COMPRA CARTÃO,-63602.03,D,REF0000000512
2025-02-20,TARIFA BANCÁRIA,-60409.47,D,REF0000000513
2025-02-02,PIX ENVIADO,-40031.23,D,REF0000000514
2025-02-17,TRANSFERÊNCIA RECEBIDA,57101.67,C,REF0000000515
2025-02-05,PAGAMENTO FORNECEDOR,-11957.81,D,REF0000000516
2025-02-06,COMPRA CARTÃO,-74512.93,D,REF0000000517
2025-02-19,DÉBITO AUTOMÁTICO,-79249.73,D,REF0000000518
2025-02-18,PAGAMENTO FORNECEDOR,-40609.83,D,REF0000000519
2025-02-16,DÉBITO AUTOMÁTICO,-56713.75,D,REF0000000520
2025-02-14,TED RECEBIDA,29500.21,C,REF0000000521
2025-02-01,PAGAMENTO SALÁRIO,-63750.55,D,REF0000000522
2025-02-26,PAGAMENTO SALÁRIO,-21279.16,D,REF0000000523
2025-02-16,CRÉDITO FOLHA,57725.94,C,REF0000000524
2025-02-25,CRÉDITO FOLHA,41962.37,C,REF0000000525
2025-02-08,PAGAMENTO SALÁRIO,-11864.67,D,REF0000000526
2025-02-07,TED RECEBIDA,45826.99,C,REF0000000527
2025-02-05,REEMBOLSO DESPESA,35311.03,C,REF0000000528
2025-02-17,SAQUE ATM,-55255.5,D,REF0000000529
2025-02-23,PIX ENVIADO,-69831.78,D,REF0000000530
2025-02-11,PAGAMENTO CLIENTE,41518.72,C,REF0000000531
2025-02-06,COMPRA CARTÃO,-42061.9,D,REF0000000532
2025-02-18,COMPRA CARTÃO,-72974.33,D,REF0000000533
2025-02-21,PAGAMENTO SALÁRIO,-54085.69,D,REF0000000534
2025-02-08,TARIFA BANCÁRIA,-48825.62,D,REF0000000535
2025-02-10,TARIFA BANCÁRIA,-44669.03,D,REF0000000536
2025-02-11,IOF,-56406.83,D,REF0000000537
2025-02-10,DÉBITO AUTOMÁTICO,-27936.81,D,REF0000000538
2025-02-13,PAGAMENTO CLIENTE,45899.47,C,REF0000000539
2025-02-10,BOLETO PAGO,-65479.28,D,REF0000000540
2025-02-12,TED RECEBIDA,23046.05,C,REF0000000541
2025-02-07,IOF,-52494.97,D,REF0000000542
2025-02-18,RENDIMENTO POUPANÇA,66244.74,C,REF0000000543
2025-02-24,TRANSFERÊNCIA ENVIADA,-11024.97,D,REF0000000544
2025-02-08,PAGAMENTO CLIENTE,19434.52,C,REF0000000545
2025-02-11,REEMBOLSO DESPESA,4246.66,C,REF0000000546
2025-02-01,BOLETO PAGO,-8088.57,D,REF0000000547
2025-02-16,TRANSFERÊNCIA RECEBIDA,32582.25,C,REF0000000548
2025-02-11,RENDIMENTO POUPANÇA,60485.09,C,REF0000000549
2025-02-21,TED ENVIADA,-51689.54,D,REF0000000550
2025-02-06,PIX RECEBIDO,42835.42,C,REF0000000551
2025-02-02,BOLETO PAGO,-70585.49,D,REF0000000552
2025-02-24,BOLETO PAGO,-63047.45,D,REF0000000553
2025-02-10,PIX ENVIADO,-70145.62,D,REF0000000554
2025-02-10,DEVOLUÇÃO BOLETO,74279.96,C,REF0000000555
2025-02-17,PAGAMENTO FORNECEDOR,-79128.5,D,REF0000000556
2025-02-28,BOLETO PAGO,-71146.33,D,REF0000000557
2025-02-11,TED ENVIADA,-21863.32,D,REF0000000558
2025-02-23,RENDIMENTO POUPANÇA,58502.98,C,REF0000000559
2025-02-26,DEVOLUÇÃO BOLETO,1176.03,C,REF0000000560
2025-02-06,TARIFA BANCÁRIA,-45444.11,D,REF0000000561
2025-02-11,PAGAMENTO FORNECEDOR,-66167.84,D,REF0000000562
2025-02-06,TED RECEBIDA,32096.62,C,REF0000000563
2025-02-01,SALÁRIO DEPOSITADO,38222.46,C,REF0000000564
2025-02-25,IOF,-30716.77,D,REF0000000565
2025-02-19,DÉBITO AUTOMÁTICO,-76325.08,D,REF0000000566
2025-02-23,DEVOLUÇÃO BOLETO,20961.17,C,REF0000000567
2025-02-15,TED RECEBIDA,5016.84,C,REF0000000568
2025-02-17,PAGAMENTO SALÁRIO,-12819.36,D,REF0000000569
2025-02-10,PAGAMENTO SALÁRIO,-55238.72,D,REF0000000570
2025-02-05,TARIFA BANCÁRIA,-49189.3,D,REF0000000571
2025-02-12,TRANSFERÊNCIA ENVIADA,-12297.19,D,REF0000000572
2025-02-25,IOF,-56170.16,D,REF0000000573
2025-02-28,CRÉDITO FOLHA,60960.68,C,REF0000000574
2025-02-23,PAGAMENTO CLIENTE,42064.26,C,REF0000000575
2025-02-04,TRANSFERÊNCIA ENVIADA,-6294.31,D,REF0000000576
2025-02-07,PAGAMENTO CLIENTE,66310.49,C,REF0000000577
2025-02-15,PAGAMENTO CLIENTE,13204.75,C,REF0000000578
2025-02-16,CRÉDITO FOLHA,54439.6,C,REF0000000579
2025-02-26,TRANSFERÊNCIA RECEBIDA,71916.2,C,REF0000000580
2025-02-14,PAGAMENTO CLIENTE,36301.91,C,REF0000000581
2025-02-15,PAGAMENTO FORNECEDOR,-45134.7,D,REF0000000582
2025-02-09,SAQUE ATM,-57876.24,D,REF0000000583
2025-02-03,CRÉDITO FOLHA,59677.07,C,REF0000000584
2025-02-18,TED RECEBIDA,33924.61,C,REF0000000585
2025-02-16,TED RECEBIDA,74769.89,C,REF0000000586
2025-02-25,DOC RECEBIDO,23002.9,C,REF0000000587
2025-02-12,REEMBOLSO DESPESA,61277.92,C,REF0000000588
2025-02-13,SAQUE ATM,-35910.54,D,REF0000000589
2025-02-05,PAGAMENTO CLIENTE,54634.29,C,REF0000000590
2025-02-13,PAGAMENTO FORNECEDOR,-9534.72,D,REF0000000591
2025-02-27,SALÁRIO DEPOSITADO,58242.26,C,REF0000000592
2025-02-15,RENDIMENTO POUPANÇA,60506.54,C,REF0000000593
2025-02-08,TARIFA BANCÁRIA,-42578.09,D,REF0000000594
2025-02-07,DÉBITO AUTOMÁTICO,-27725.47,D,REF0000000595
2025-02-20,REEMBOLSO DESPESA,2625.77,C,REF0000000596
2025-02-04,TED RECEBIDA,19291.27,C,REF0000000597
2025-02-08,PIX RECEBIDO,35742.96,C,REF0000000598
2025-02-18,SALÁRIO DEPOSITADO,32211.11,C,REF0000000599
2025-02-05,PIX RECEBIDO,60363.14,C,REF0000000600
2025-02-11,TRANSFERÊNCIA ENVIADA,-18771.21,D,REF0000000601
2025-02-22,BOLETO PAGO,-18990.48,D,REF0000000602
2025-02-02,RENDIMENTO POUPANÇA,33114.14,C,REF0000000603
2025-02-18,REEMBOLSO DESPESA,50098.15,C,REF0000000604
2025-02-21,COMPRA CARTÃO,-3798.38,D,REF0000000605
2025-02-23,COMPRA CARTÃO,-62875.08,D,REF0000000606
2025-02-13,DÉBITO AUTOMÁTICO,-32690.32,D,REF0000000607
2025-02-08,TRANSFERÊNCIA RECEBIDA,60365.57,C,REF0000000608
2025-02-26,DOC RECEBIDO,24093.88,C,REF0000000609
2025-02-14,PAGAMENTO FORNECEDOR,-73183.56,D,REF0000000610
2025-02-13,BOLETO PAGO,-44605.08,D,REF0000000611
2025-02-21,DEVOLUÇÃO BOLETO,20436.9,C,REF0000000612
2025-02-03,DEVOLUÇÃO BOLETO,73781.98,C,REF0000000613
2025-02-22,REEMBOLSO DESPESA,4170.35,C,REF0000000614
2025-02-26,SALÁRIO DEPOSITADO,69895.96,C,REF0000000615
2025-02-10,DEVOLUÇÃO BOLETO,38377.57,C,REF0000000616
2025-02-24,SALÁRIO DEPOSITADO,16984.03,C,REF0000000617
2025-02-08,TRANSFERÊNCIA RECEBIDA,59762.99,C,REF0000000618
2025-02-18,SALÁRIO DEPOSITADO,31760.73,C,REF0000000619
2025-02-15,SAQUE ATM,-62052.33,D,REF0000000620
2025-02-17,COMPRA CARTÃO,-24708.36,D,REF0000000621
2025-02-25,IOF,-37307.03,D,REF0000000622
2025-02-11,COMPRA CARTÃO,-73150.72,D,REF0000000623
2025-02-24,TARIFA BANCÁRIA,-3704.95,D,REF0000000624
2025-02-19,PAGAMENTO CLIENTE,1346.78,C,REF0000000625
2025-02-11,TARIFA BANCÁRIA,-23650.62,D,REF0000000626
2025-02-16,SALÁRIO DEPOSITADO,30418.19,C,REF0000000627
2025-02-24,IOF,-20623.27,D,REF0000000628
2025-02-06,COMPRA CARTÃO,-36893.28,D,REF0000000629
2025-02-06,TRANSFERÊNCIA RECEBIDA,57639.07,C,REF0000000630
2025-02-27,TED RECEBIDA,41939.36,C,REF0000000631
2025-02-05,REEMBOLSO DESPESA,61158.89,C,REF0000000632
2025-02-01,DOC RECEBIDO,5484.04,C,REF0000000633
2025-02-02,DEVOLUÇÃO BOLETO,40483.35,C,REF0000000634
2025-02-01,PIX ENVIADO,-52759.78,D,REF0000000635
2025-02-24,PAGAMENTO FORNECEDOR,-997.48,D,REF0000000636
2025-02-01,DÉBITO AUTOMÁTICO,-42882.26,D,REF0000000637
2025-02-04,BOLETO PAGO,-64503.11,D,REF0000000638
2025-02-07,SALÁRIO DEPOSITADO,41974.61,C,REF0000000639
2025-02-26,DÉBITO AUTOMÁTICO,-65226.39,D,REF0000000640
2025-02-15,SAQUE ATM,-6367.59,D,REF0000000641
2025-02-10,SALÁRIO DEPOSITADO,79219.13,C,REF0000000642
2025-02-03,PIX RECEBIDO,52316.17,C,REF0000000643
2025-02-16,PAGAMENTO FORNECEDOR,-30372.16,D,REF0000000644
2025-02-03,DOC RECEBIDO,50958.01,C,REF0000000645
2025-02-26,PAGAMENTO SALÁRIO,-67634.12,D,REF0000000646
2025-02-17,TED ENVIADA,-45290.24,D,REF0000000647
2025-02-16,CRÉDITO FOLHA,18419.83,C,REF0000000648
2025-02-22,TED ENVIADA,-3772.63,D,REF0000000649
2025-02-22,TRANSFERÊNCIA ENVIADA,-71949.97,D,REF0000000650
2025-02-01,DEVOLUÇÃO BOLETO,14389.39,C,REF0000000651
2025-02-03,REEMBOLSO DESPESA,46983.54,C,REF0000000652
2025-02-19,TARIFA BANCÁRIA,-13037.9,D,REF0000000653
2025-02-11,PAGAMENTO FORNECEDOR,-54178.95,D,REF0000000654
2025-02-26,BOLETO PAGO,-60460.96,D,REF0000000655
2025-02-02,DEVOLUÇÃO BOLETO,40088.39,C,REF0000000656
2025-02-11,TED RECEBIDA,34995.21,C,REF0000000657
2025-02-01,COMPRA CARTÃO,-77515.2,D,REF0000000658
2025-02-16,IOF,-62694.67,D,REF0000000659
2025-02-14,REEMBOLSO DESPESA,28497.11,C,REF0000000660
2025-02-03,REEMBOLSO DESPESA,54391.6,C,REF0000000661
2025-02-03,TED ENVIADA,-63854.51,D,REF0000000662
2025-02-05,PAGAMENTO SALÁRIO,-12379.97,D,REF0000000663
2025-02-03,TED ENVIADA,-25368.42,D,REF0000000664
2025-02-12,TRANSFERÊNCIA RECEBIDA,75439.67,C,REF0000000665
2025-02-06,TED ENVIADA,-8223.4,D,REF0000000666
2025-02-17,PAGAMENTO FORNECEDOR,-35935.05,D,REF0000000667
2025-02-12,TED ENVIADA,-8308.27,D,REF0000000668
2025-02-28,DEVOLUÇÃO BOLETO,47774.12,C,REF0000000669
2025-02-13,SAQUE ATM,-1036.63,D,REF0000000670
2025-02-08,PAGAMENTO CLIENTE,58001.27,C,REF0000000671
2025-02-05,DOC RECEBIDO,54841.01,C,REF0000000672
2025-02-05,IOF,-24125.44,D,REF0000000673
2025-02-14,RENDIMENTO POUPANÇA,13418.23,C,REF0000000674
2025-02-12,TED ENVIADA,-38764.29,D,REF0000000675
2025-02-16,PAGAMENTO SALÁRIO,-75540.57,D,REF0000000676
2025-02-10,DOC RECEBIDO,36656.04,C,REF0000000677
2025-02-27,DEVOLUÇÃO BOLETO,75908.44,C,REF0000000678
2025-02-15,COMPRA CARTÃO,-64335.91,D,REF0000000679
2025-02-20,PAGAMENTO SALÁRIO,-34477.77,D,REF0000000680
2025-02-23,CRÉDITO FOLHA,24069.8,C,REF0000000681
2025-02-13,DOC RECEBIDO,38346.83,C,REF0000000682
2025-02-16,PAGAMENTO SALÁRIO,-23351.28,D,REF0000000683
2025-02-27,RENDIMENTO POUPANÇA,26104.6,C,REF0000000684
2025-02-07,TRANSFERÊNCIA ENVIADA,-29232.99,D,REF0000000685
2025-02-01,PAGAMENTO CLIENTE,54552.93,C,REF0000000686
2025-02-15,TARIFA BANCÁRIA,-75440.84,D,REF0000000687
2025-02-27,TED ENVIADA,-66510.98,D,REF0000000688
2025-02-21,BOLETO PAGO,-53854.56,D,REF0000000689
2025-02-05,PAGAMENTO SALÁRIO,-19399.59,D,REF0000000690
2025-02-15,TED ENVIADA,-63136.69,D,REF0000000691
2025-02-17,PAGAMENTO FORNECEDOR,-46600.41,D,REF0000000692
2025-02-23,COMPRA CARTÃO,-43514.43,D,REF0000000693
2025-02-22,SALÁRIO DEPOSITADO,8794.09,C,REF0000000694
2025-02-02,TRANSFERÊNCIA ENVIADA,-13348.76,D,REF0000000695
2025-02-26,COMPRA CARTÃO,-77346.55,D,REF0000000696
2025-02-09,TED ENVIADA,-8520.27,D,REF0000000697
2025-02-18,PAGAMENTO CLIENTE,40878.57,C,REF0000000698
2025-02-15,REEMBOLSO DESPESA,35690.0,C,REF0000000699
2025-02-16,PIX RECEBIDO,27630.14,C,REF0000000700
2025-02-04,TED RECEBIDA,23669.81,C,REF0000000701
2025-02-15,DEVOLUÇÃO BOLETO,27898.88,C,REF0000000702
2025-02-16,DEVOLUÇÃO BOLETO,41713.13,C,REF0000000703
2025-02-11,TRANSFERÊNCIA RECEBIDA,35081.37,C,REF0000000704
2025-02-01,TED RECEBIDA,24056.11,C,REF0000000705
2025-02-26,PAGAMENTO SALÁRIO,-51855.19,D,REF0000000706
2025-02-17,SALÁRIO DEPOSITADO,74397.3,C,REF0000000707
2025-02-18,DEVOLUÇÃO BOLETO,44175.23,C,REF0000000708
2025-02-26,TARIFA BANCÁRIA,-76679.09,D,REF0000000709
2025-02-21,BOLETO PAGO,-50399.34,D,REF0000000710
2025-02-07,TRANSFERÊNCIA ENVIADA,-31676.81,D,REF0000000711
2025-02-01,SAQUE ATM,-47396.64,D,REF0000000712
2025-02-19,TED RECEBIDA,16502.47,C,REF0000000713
2025-02-06,PAGAMENTO CLIENTE,63970.21,C,REF0000000714
2025-02-04,IOF,-26112.49,D,REF0000000715
2025-02-17,IOF,-53672.58,D,REF0000000716
2025-02-13,TRANSFERÊNCIA ENVIADA,-47777.82,D,REF0000000717
2025-02-20,TRANSFERÊNCIA RECEBIDA,27866.57,C,REF0000000718
2025-02-20,RENDIMENTO POUPANÇA,65108.37,C,REF0000000719
2025-02-04,DEVOLUÇÃO BOLETO,53785.2,C,REF0000000720
2025-02-12,DOC RECEBIDO,24465.13,C,REF0000000721
2025-02-20,REEMBOLSO DESPESA,40890.45,C,REF0000000722
2025-02-06,REEMBOLSO DESPESA,46005.74,C,REF0000000723
2025-02-06,PAGAMENTO SALÁRIO,-50858.36,D,REF0000000724
2025-02-06,DOC RECEBIDO,39196.88,C,REF0000000725
2025-02-02,TRANSFERÊNCIA ENVIADA,-67366.72,D,REF0000000726
2025-02-05,IOF,-76149.76,D,REF0000000727
2025-02-17,PAGAMENTO CLIENTE,65226.51,C,REF0000000728
2025-02-14,IOF,-32760.29,D,REF0000000729
2025-02-19,TED ENVIADA,-39121.53,D,REF0000000730
2025-02-10,SALÁRIO DEPOSITADO,63680.68,C,REF0000000731
2025-02-10,PAGAMENTO CLIENTE,22024.49,C,REF0000000732
2025-02-24,CRÉDITO FOLHA,62470.18,C,REF0000000733
2025-02-19,TED ENVIADA,-44000.61,D,REF0000000734
2025-02-27,PAGAMENTO CLIENTE,21467.72,C,REF0000000735
2025-02-25,PIX ENVIADO,-43386.37,D,REF0000000736
2025-02-04,SAQUE ATM,-43730.94,D,REF0000000737
2025-02-15,PIX RECEBIDO,23851.83,C,REF0000000738
2025-02-15,TED ENVIADA,-27918.73,D,REF0000000739
2025-02-07,SALÁRIO DEPOSITADO,62061.75,C,REF0000000740
2025-02-21,TRANSFERÊNCIA ENVIADA,-68890.84,D,REF0000000741
2025-02-26,BOLETO PAGO,-13320.23,D,REF0000000742
