data,descricao,valor,tipo,referencia
2025-03-19,PIX ENVIADO,-2725.28,D,REF0000001599
2025-03-03,BOLETO PAGO,-77999.25,D,REF0000001591
2025-03-19,TRANSFERÊNCIA ENVIADA (DUPLICADO),-74172.07,D,REF0000001505
2025-03-27,PIX ENVIADO,-63550.25,D,REF0000001369
2025-03-12,PAGAMENTO CLIENTE,63751.55,C,REF0000001313
2025-03-02,PAGAMENTO CLIENTE,10821.19,C,REF0000001185
2025-03-23,PIX ENVIADO,-29661.68,D,REF0000001201
2025-03-03,TED RECEBIDA,31793.79,C,REF0000001295
2025-03-20,TED RECEBIDA,78928.95,C,REF0000001698
2025-03-01,TRANSFERÊNCIA RECEBIDA,51241.29,C,REF0000001225
2025-03-01,DOC RECEBIDO,19452.47,C,REF0000001678
2025-03-17,PAGAMENTO CLIENTE,70226.32,C,REF0000001198
2025-03-07,DOC RECEBIDO,17984.49,C,REF0000001007
2025-03-27,RENDIMENTO POUPANÇA,50631.28,C,REF0000001679
2025-03-20,PIX ENVIADO,-58705.94,D,REF0000001355
2025-03-23,SALÁRIO DEPOSITADO,25091.52,C,REF0000001149
2025-03-21,PAGAMENTO CLIENTE,66804.05,C,REF0000001760
2025-03-17,TED RECEBIDA,15974.43,C,REF0000001333
2025-03-10,PIX ENVIADO,-69149.37,D,REF0000001427
2025-03-31,PAGAMENTO SALÁRIO,-76942.93,D,REF0000001630
2025-03-20,SAQUE ATM,-71176.11,D,REF0000001284
2025-03-06,TED RECEBIDA,60634.24,C,REF0000001459
2025-03-21,PAGAMENTO SALÁRIO,-28603.21,D,REF0000001144
2025-03-18,DOC RECEBIDO,45623.71,C,REF0000001374
2025-03-28,REEMBOLSO DESPESA,40222.89,C,REF0000001261
2025-03-26,RENDIMENTO POUPANÇA,17805.75,C,REF0000001402
2025-03-19,TRANSFERÊNCIA ENVIADA,-48906.63,D,REF0000001495
2025-03-08,RENDIMENTO POUPANÇA,75533.73,C,REF0000001437
2025-03-12,DÉBITO AUTOMÁTICO,-29857.85,D,REF0000001790
2025-03-09,TRANSFERÊNCIA RECEBIDA,47346.89,C,REF0000001723
2025-03-17,PAGAMENTO FORNECEDOR,-36220.23,D,REF0000001750
2025-03-13,SAQUE ATM,-56956.3,D,REF0000001585
2025-03-18,IOF,-72718.41,D,REF0000001306
2025-03-02,DEVOLUÇÃO BOLETO,16908.0,C,REF0000001623
2025-03-16,PIX RECEBIDO,20093.16,C,REF0000001348
2025-03-11,SALÁRIO DEPOSITADO,60266.22,C,REF0000001747
2025-03-17,TRANSFERÊNCIA ENVIADA,-25454.74,D,REF0000001787
2025-03-10,TRANSFERÊNCIA RECEBIDA,37147.99,C,REF0000001625
2025-03-17,COMPRA CARTÃO,-33023.46,D,REF0000001245
2025-03-16,CRÉDITO FOLHA,8341.86,C,REF0000001036
2025-03-23,SAQUE ATM,-73484.2,D,REF0000001579
2025-03-13,PAGAMENTO CLIENTE,59405.9,C,REF0000001089
2025-03-20,BOLETO PAGO,-32991.9,D,REF0000001694
2025-03-14,IOF,-29305.64,D,REF0000001267
2025-03-23,TED RECEBIDA,36602.82,C,REF0000001262
2025-03-24,TRANSFERÊNCIA RECEBIDA,27242.27,C,REF0000001534
2025-03-26,CRÉDITO FOLHA,30107.88,C,REF0000001643
2025-03-20,RENDIMENTO POUPANÇA,23222.44,C,REF0000001128
2025-03-18,DÉBITO AUTOMÁTICO,-3298.71,D,REF0000001098
2025-03-24,PAGAMENTO SALÁRIO,-7486.1,D,REF0000001247
2025-03-04,IOF (DUPLICADO),-14316.45,D,REF0000001652
2025-03-22,TED RECEBIDA,9634.29,C,REF0000001254
2025-03-17,DOC RECEBIDO,981.01,C,REF0000001046
2025-03-27,COMPRA CARTÃO,-76030.89,D,REF0000001057
2025-03-19,TED ENVIADA (DUPLICADO),-56405.36,D,REF0000001600
2025-03-10,TED ENVIADA,-67472.6,D,REF0000001499
2025-03-28,SALÁRIO DEPOSITADO (DUPLICADO),18827.17,C,REF0000001251
2025-03-13,IOF,-44186.4,D,REF0000001595
2025-03-12,TRANSFERÊNCIA RECEBIDA,7588.26,C,REF0000001388
2025-03-11,DEVOLUÇÃO BOLETO,27522.86,C,REF0000001288
2025-03-04,TED ENVIADA (DUPLICADO),-34108.32,D,REF0000001028
2025-03-13,PIX ENVIADO,-34670.35,D,REF0000001125
2025-03-20,PIX RECEBIDO,76836.69,C,REF0000001485
2025-03-05,DEVOLUÇÃO BOLETO,66914.96,C,REF0000001253
2025-03-01,SALÁRIO DEPOSITADO,11238.44,C,REF0000001670
2025-03-22,PAGAMENTO FORNECEDOR,-71839.75,D,REF0000001748
2025-03-05,BOLETO PAGO,-35480.68,D,REF0000001300
2025-03-23,IOF,-69376.96,D,REF0000001460
2025-03-04,BOLETO PAGO,-23138.0,D,REF0000001484
2025-03-25,DEVOLUÇÃO BOLETO,72923.34,C,REF0000001094
2025-03-25,BOLETO PAGO,-36713.39,D,REF0000001718
2025-03-20,DOC RECEBIDO,63579.55,C,REF0000001191
2025-03-21,COMPRA CARTÃO,-14836.41,D,REF0000001735
2025-03-16,CRÉDITO FOLHA,5928.7,C,REF0000001712
2025-03-28,PIX ENVIADO,-56326.97,D,REF0000001736
2025-03-18,PAGAMENTO SALÁRIO,-41900.61,D,REF0000001305
2025-03-02,REEMBOLSO DESPESA,50729.27,C,REF0000001398
2025-03-23,IOF,-33326.97,D,REF0000001692
2025-03-28,DÉBITO AUTOMÁTICO,-8820.38,D,REF0000001583
2025-03-03,DOC RECEBIDO,52418.78,C,REF0000001229
2025-03-14,PAGAMENTO CLIENTE,32968.28,C,REF0000001314
2025-03-16,PIX ENVIADO,-71727.08,D,REF0000001242
2025-03-31,TED RECEBIDA,27460.7,C,REF0000001619
2025-03-07,REEMBOLSO DESPESA,78068.37,C,REF0000001786
2025-03-29,PAGAMENTO SALÁRIO,-48928.11,D,REF0000001038
2025-03-05,PAGAMENTO SALÁRIO,-34721.54,D,REF0000001004
2025-03-26,CRÉDITO FOLHA,41352.97,C,REF0000001317
2025-03-04,PIX RECEBIDO,78454.63,C,REF0000001053
2025-03-26,DEVOLUÇÃO BOLETO,40692.07,C,REF0000001218
2025-03-18,COMPRA CARTÃO,-74684.92,D,REF0000001379
2025-03-19,PAGAMENTO SALÁRIO,-59701.36,D,REF0000001375
2025-03-13,PIX ENVIADO,-9763.13,D,REF0000001774
2025-03-11,TED RECEBIDA,32484.59,C,REF0000001563
2025-03-15,COMPRA CARTÃO,-63112.86,D,REF0000001559
2025-03-19,DÉBITO AUTOMÁTICO,-20339.52,D,REF0000001214
2025-03-03,CRÉDITO FOLHA,8048.6,C,REF0000001145
2025-03-11,SALÁRIO DEPOSITADO,10109.91,C,REF0000001345
2025-03-24,TRANSFERÊNCIA RECEBIDA,3252.69,C,REF0000001727
2025-03-05,SALÁRIO DEPOSITADO,26180.19,C,REF0000001400
2025-03-16,SAQUE ATM,-54696.62,D,REF0000001627
2025-03-20,RENDIMENTO POUPANÇA (DUPLICADO),61281.24,C,REF0000001312
2025-03-23,PAGAMENTO SALÁRIO,-38917.56,D,REF0000001762
2025-03-18,IOF,-61992.62,D,REF0000001152
2025-03-30,PAGAMENTO CLIENTE,23488.9,C,REF0000001757
2025-03-08,RENDIMENTO POUPANÇA,56080.44,C,REF0000001246
2025-03-13,PIX RECEBIDO (DUPLICADO),43233.29,C,REF0000001661
2025-03-12,RENDIMENTO POUPANÇA,69937.53,C,REF0000001027
2025-03-27,REEMBOLSO DESPESA,69202.82,C,REF0000001118
2025-03-03,PIX RECEBIDO,37223.62,C,REF0000001425
2025-03-17,DEVOLUÇÃO BOLETO,30821.1,C,REF0000001737
2025-03-20,TED RECEBIDA,63025.96,C,REF0000001739
2025-03-24,TRANSFERÊNCIA ENVIADA,-62108.37,D,REF0000001462
2025-03-08,DEVOLUÇÃO BOLETO,59779.59,C,REF0000001709
2025-03-12,PIX ENVIADO,-37254.96,D,REF0000001742
2025-03-09,DOC RECEBIDO,21848.7,C,REF0000001544
2025-03-07,PAGAMENTO FORNECEDOR,-71214.37,D,REF0000001056
2025-03-25,BOLETO PAGO,-62053.88,D,REF0000001535
2025-03-01,PIX ENVIADO,-77268.37,D,REF0000001092
2025-03-10,PIX ENVIADO,-13403.26,D,REF0000001002
2025-03-04,CRÉDITO FOLHA,40951.2,C,REF0000001016
2025-03-09,DÉBITO AUTOMÁTICO,-28153.74,D,REF0000001639
2025-03-05,PAGAMENTO FORNECEDOR,-75210.18,D,REF0000001675
2025-03-05,PAGAMENTO SALÁRIO,-63790.49,D,REF0000001519
2025-03-28,IOF,-1026.01,D,REF0000001486
2025-03-17,SALÁRIO DEPOSITADO,70228.51,C,REF0000001465
2025-03-20,TED ENVIADA,-76472.88,D,REF0000001572
2025-03-08,REEMBOLSO DESPESA,74038.53,C,REF0000001458
2025-03-12,TED ENVIADA,-22207.77,D,REF0000001749
2025-03-17,PAGAMENTO SALÁRIO,-39992.85,D,REF0000001274
2025-03-13,CRÉDITO FOLHA,10713.0,C,REF0000001689
2025-03-07,BOLETO PAGO,-37977.99,D,REF0000001013
2025-03-30,CRÉDITO FOLHA,33825.85,C,REF0000001470
2025-03-03,TRANSFERÊNCIA RECEBIDA,1299.64,C,REF0000001690
2025-03-02,TED ENVIADA,-60450.94,D,REF0000001624
2025-03-24,IOF,-19073.9,D,REF0000001622
2025-03-05,TRANSFERÊNCIA RECEBIDA,66826.81,C,REF0000001023
2025-03-29,SALÁRIO DEPOSITADO (DUPLICADO),36321.77,C,REF0000001475
2025-03-16,PAGAMENTO SALÁRIO (DUPLICADO),-41600.48,D,REF0000001506
2025-03-06,DÉBITO AUTOMÁTICO,-76450.68,D,REF0000001650
2025-03-19,BOLETO PAGO (DUPLICADO),-22406.38,D,REF0000001269
2025-03-19,SALÁRIO DEPOSITADO,48671.69,C,REF0000001783
2025-03-08,DÉBITO AUTOMÁTICO,-7096.85,D,REF0000001221
2025-03-22,PAGAMENTO SALÁRIO,-26226.29,D,REF0000001574
2025-03-10,SALÁRIO DEPOSITADO,62102.93,C,REF0000001095
2025-03-22,SALÁRIO DEPOSITADO,27984.77,C,REF0000001107
2025-03-15,TED ENVIADA,-74275.88,D,REF0000001367
2025-03-22,REEMBOLSO DESPESA,27375.8,C,REF0000001438
2025-03-14,SAQUE ATM,-40353.6,D,REF0000001073
2025-03-16,TED RECEBIDA,21756.22,C,REF0000001529
2025-03-23,TED RECEBIDA,627.56,C,REF0000001691
2025-03-27,BOLETO PAGO,-14623.33,D,REF0000001768
2025-03-21,PAGAMENTO FORNECEDOR,-8302.84,D,REF0000001171
2025-03-18,TED ENVIADA,-62063.45,D,REF0000001329
2025-03-08,TRANSFERÊNCIA ENVIADA,-47618.44,D,REF0000001682
2025-03-02,DOC RECEBIDO,3961.06,C,REF0000001491
2025-03-04,TRANSFERÊNCIA ENVIADA,-66129.81,D,REF0000001196
2025-03-19,DÉBITO AUTOMÁTICO,-21720.62,D,REF0000001547
2025-03-15,DÉBITO AUTOMÁTICO,-61905.48,D,REF0000001469
2025-03-23,COMPRA CARTÃO,-56436.03,D,REF0000001528
2025-03-04,TARIFA BANCÁRIA,-48887.6,D,REF0000001064
