data,descricao,valor,tipo,referencia
2025-04-21,PIX RECEBIDO,-10681.06,C,REF0000000000
2025-04-06,RENDIMENTO POUPANÇA,2917.19,C,REF0000002002
2025-04-02,IOF,-34942.57,D,REF0000002003
2025-04-16,PAGAMENTO FORNECEDOR,-28553.78,D,REF0000002004
2025-04-04,BOLETO PAGO,-39464.43,D,REF0000002005
2025-04-06,DÉBITO AUTOMÁTICO,-7531.55,D,REF0000002006
2025-04-19,RENDIMENTO POUPANÇA,60007.44,C,REF0000002007
2025-04-17,PIX RECEBIDO,46704.61,C,REF0000002008
2025-04-08,TED RECEBIDA,33342.7,C,REF0000002009
2025-04-01,COMPRA CARTÃO,-54168.84,D,REF0000002010
2025-04-04,PAGAMENTO SALÁRIO,-54520.92,D,REF0000002011
2025-04-27,TED ENVIADA,-29915.99,D,REF0000002012
2025-04-15,TED ENVIADA,-12344.35,D,REF0000002013
2025-04-20,DÉBITO AUTOMÁTICO,-36351.74,D,REF0000002014
2025-04-21,PIX RECEBIDO,26387.68,C,REF0000002015
2025-04-05,TRANSFERÊNCIA ENVIADA,-26026.99,D,REF0000002016
2025-04-11,RENDIMENTO POUPANÇA,69069.14,C,REF0000002017
2025-04-20,PAGAMENTO CLIENTE,59516.81,C,REF0000002018
2025-04-30,IOF,15275.17,D,REF0000000018
2025-04-03,REEMBOLSO DESPESA,77205.69,C,REF0000002020
2025-04-13,DOC RECEBIDO,68195.05,C,REF0000002021
2025-04-05,PAGAMENTO SALÁRIO,-22830.62,D,REF0000002022
2025-04-24,REEMBOLSO DESPESA,23918.81,C,REF0000002023
2025-04-05,TRANSFERÊNCIA ENVIADA,-72303.56,D,REF0000002024
2025-04-17,COMPRA CARTÃO,-53258.35,D,REF0000002025
2025-04-16,REEMBOLSO DESPESA,39195.36,C,REF0000002026
2025-04-03,SAQUE ATM,-45066.41,D,REF0000002027
2025-04-06,TRANSFERÊNCIA ENVIADA,-64889.0,D,REF0000002028
2025-04-02,TED ENVIADA,-50473.37,D,REF0000002029
2025-04-08,PAGAMENTO SALÁRIO,-77863.08,D,REF0000002030
2025-04-21,PAGAMENTO CLIENTE,74456.88,C,REF0000002031
2025-04-03,REEMBOLSO DESPESA,23291.71,C,REF0000002032
2025-04-22,BOLETO PAGO,-24066.44,D,REF0000002033
2025-04-14,PAGAMENTO FORNECEDOR,-67330.96,D,REF0000002034
2025-04-03,PAGAMENTO FORNECEDOR,-45504.43,D,REF0000002035
2025-04-14,PAGAMENTO CLIENTE,41097.49,C,REF0000002036
2025-04-24,PAGAMENTO SALÁRIO,-7604.02,D,REF0000002037
2025-04-03,TRANSFERÊNCIA ENVIADA,-28468.84,D,REF0000002038
2025-04-06,TRANSFERÊNCIA RECEBIDA,9159.14,C,REF0000002039
2025-04-07,RENDIMENTO POUPANÇA,-29758.8,C,REF0000000039
2025-04-11,DÉBITO AUTOMÁTICO,-70146.59,D,REF0000002041
2025-04-30,DÉBITO AUTOMÁTICO,11893.75,D,REF0000000041
2025-04-07,BOLETO PAGO,-27339.68,D,REF0000002043
2025-04-09,CRÉDITO FOLHA,6303.73,C,REF0000002044
2025-04-01,PIX RECEBIDO,34732.22,C,REF0000002045
2025-04-21,BOLETO PAGO,-9378.43,D,REF0000002046
2025-04-28,SAQUE ATM,-36840.03,D,REF0000002047
2025-04-12,TRANSFERÊNCIA ENVIADA,-24258.86,D,REF0000002048
2025-04-18,PIX ENVIADO,13730.17,D,REF0000000048
2025-04-27,TED RECEBIDA,1159.38,C,REF0000002050
2025-04-28,SALÁRIO DEPOSITADO,55697.79,C,REF0000002051
2025-04-21,DOC RECEBIDO,16777.9,C,REF0000002052
2025-04-02,DOC RECEBIDO,-16199.83,C,REF0000000052
2025-04-18,SALÁRIO DEPOSITADO,-78402.89,C,REF0000000053
2025-04-06,TED ENVIADA,-33779.24,D,REF0000002055
