data,descricao,valor,tipo,referencia
2025-06-10,RENDIMENTO POUPANÇA,52404.63,C,REF0000010001
2025-06-16,TED RECEBIDA,5219.03,C,REF0000010002
2025-06-20,PIX ENVIADO,-72220.34,D,REF0000010003
2025-06-01,IOF,-6442.13,D,REF0000010004
2025-06-23,DEVOLUÇÃO BOLETO,25505.92,C,REF0000010005
2025-06-15,DEVOLUÇÃO BOLETO,45557.63,C,REF0000010006
2025-06-12,IOF,-59388.3,D,REF0000010007
2025-06-11,IOF,-24054.76,D,REF0000010008
2025-06-02,DOC RECEBIDO,18287.52,C,REF0000010009
2025-06-11,IOF,-32808.11,D,REF0000010010
2025-06-15,IOF,-37116.73,D,REF0000010011
2025-06-14,REEMBOLSO DESPESA,11409.53,C,REF0000010012
2025-06-13,DEVOLUÇÃO BOLETO,69875.27,C,REF0000010013
2025-06-14,PIX RECEBIDO,31983.49,C,REF0000010014
2025-06-07,DOC RECEBIDO,12125.54,C,REF0000010015
2025-06-05,TRANSFERÊNCIA RECEBIDA,1360.33,C,REF0000010016
2025-06-16,PIX ENVIADO,-27018.35,D,REF0000010017
2025-06-09,PAGAMENTO FORNECEDOR,-12707.39,D,REF0000010018
2025-06-24,CRÉDITO FOLHA,15236.19,C,REF0000010019
2025-06-16,BOLETO PAGO,-34656.86,D,REF0000010020
2025-06-03,TED RECEBIDA,28301.88,C,REF0000010021
2025-06-10,TRANSFERÊNCIA ENVIADA,-56496.63,D,REF0000010022
2025-06-26,TRANSFERÊNCIA RECEBIDA,18850.44,C,REF0000010023
2025-06-10,PIX RECEBIDO,33336.82,C,REF0000010024
2025-06-22,RENDIMENTO POUPANÇA,27119.51,C,REF0000010025
2025-06-05,TRANSFERÊNCIA ENVIADA,-48949.56,D,REF0000010026
2025-06-26,COMPRA CARTÃO,-27320.72,D,REF0000010027
2025-06-03,TRANSFERÊNCIA RECEBIDA,29596.92,C,REF0000010028
2025-06-08,REEMBOLSO DESPESA,35793.9,C,REF0000010029
2025-06-30,SALÁRIO DEPOSITADO,75568.91,C,REF0000010030
2025-06-26,IOF,-50728.02,D,REF0000010031
2025-06-26,TRANSFERÊNCIA ENVIADA,-44421.91,D,REF0000010032
2025-06-11,BOLETO PAGO,-55881.45,D,REF0000010033
2025-06-08,CRÉDITO FOLHA,56662.99,C,REF0000010034
2025-06-29,TRANSFERÊNCIA RECEBIDA,39112.6,C,REF0000010035
2025-06-13,TED RECEBIDA,25111.13,C,REF0000010036
2025-06-17,TED RECEBIDA,49907.38,C,REF0000010037
2025-06-03,DÉBITO AUTOMÁTICO,-37042.01,D,REF0000010038
2025-06-26,TARIFA BANCÁRIA,-31196.64,D,REF0000010039
2025-06-28,COMPRA CARTÃO,-56967.01,D,REF0000010040
2025-06-21,SALÁRIO DEPOSITADO,37926.07,C,REF0000010041
2025-06-16,CRÉDITO FOLHA,26210.79,C,REF0000010042
2025-06-16,DEVOLUÇÃO BOLETO,62705.56,C,REF0000010043
2025-06-07,PAGAMENTO FORNECEDOR,-48401.44,D,REF0000010044
2025-06-20,CRÉDITO FOLHA,76620.17,C,REF0000010045
2025-06-24,PIX RECEBIDO,23684.79,C,REF0000010046
2025-06-10,PAGAMENTO CLIENTE,41904.0,C,REF0000010047
2025-06-23,REEMBOLSO DESPESA,63267.21,C,REF0000010048
2025-06-05,SALÁRIO DEPOSITADO,23889.25,C,REF0000010049
2025-06-21,PAGAMENTO SALÁRIO,-2071.43,D,REF0000010050
2025-06-25,IOF,-6342.84,D,REF0000010051
2025-06-18,REEMBOLSO DESPESA,35762.47,C,REF0000010052
2025-06-04,DEVOLUÇÃO BOLETO,47527.91,C,REF0000010053
2025-06-23,TARIFA BANCÁRIA,-36502.66,D,REF0000010054
