data,descricao,valor,tipo,referencia
2025-07-20,PIX RECEBIDO,2032.46,C,REF0000020001
2025-07-20,SALÁRIO DEPOSITADO,16710.69,C,REF0000020002
2025-07-05,TRANSFERÊNCIA RECEBIDA,17457.29,C,REF0000020003
2025-07-20,REEMBOLSO DESPESA,13891.67,C,REF0000020004
2025-07-08,DEVOLUÇÃO BOLETO,7403.49,C,REF0000020005
2025-07-01,TED RECEBIDA,15170.57,C,REF0000020006
2025-07-08,TRANSFERÊNCIA RECEBIDA,10684.34,C,REF0000020007
2025-07-06,PAGAMENTO CLIENTE,6908.15,C,REF0000020008
2025-07-27,DEVOLUÇÃO BOLETO,12115.75,C,REF0000020009
2025-07-18,RENDIMENTO POUPANÇA,6820.48,C,REF0000020010
2025-07-23,DOC RECEBIDO,17340.4,C,REF0000020011
2025-07-13,REEMBOLSO DESPESA,8758.8,C,REF0000020012
2025-07-23,CRÉDITO FOLHA,13890.32,C,REF0000020013
2025-07-12,PAGAMENTO CLIENTE,5773.46,C,REF0000020014
2025-07-24,DEVOLUÇÃO BOLETO,14509.93,C,REF0000020015
2025-07-01,TED RECEBIDA,6032.12,C,REF0000020016
2025-07-21,TED RECEBIDA,17578.24,C,REF0000020017
2025-07-22,DEVOLUÇÃO BOLETO,18025.41,C,REF0000020018
2025-07-18,RENDIMENTO POUPANÇA,8994.37,C,REF0000020019
2025-07-20,TRANSFERÊNCIA RECEBIDA,21501.86,C,REF0000020020
2025-07-09,TRANSFERÊNCIA RECEBIDA,5075.94,C,REF0000020021
2025-07-26,TED RECEBIDA,3121.07,C,REF0000020022
2025-07-28,PAGAMENTO CLIENTE,18685.3,C,REF0000020023
2025-07-07,PIX RECEBIDO,24317.47,C,REF0000020024
2025-07-04,DOC RECEBIDO,17541.72,C,REF0000020025
2025-07-15,TRANSFERÊNCIA RECEBIDA,18563.73,C,REF0000020026
2025-07-02,CRÉDITO FOLHA,9414.36,C,REF0000020027
2025-07-24,RENDIMENTO POUPANÇA,4907.59,C,REF0000020028
2025-07-31,CRÉDITO FOLHA,22607.73,C,REF0000020029
2025-07-19,SALÁRIO DEPOSITADO,24912.93,C,REF0000020030
2025-07-06,SALÁRIO DEPOSITADO,3527.01,C,REF0000020031
2025-07-04,RENDIMENTO POUPANÇA,1944.7,C,REF0000020032
2025-07-21,SALÁRIO DEPOSITADO,18576.04,C,REF0000020033
2025-07-25,PAGAMENTO CLIENTE,13093.41,C,REF0000020034
2025-07-30,DOC RECEBIDO,3367.6,C,REF0000020035
2025-07-15,CRÉDITO FOLHA,19255.31,C,REF0000020036
2025-07-27,DEVOLUÇÃO BOLETO,5797.89,C,REF0000020037
2025-07-12,DEVOLUÇÃO BOLETO,21116.55,C,REF0000020038
2025-07-05,TED RECEBIDA,22323.24,C,REF0000020039
2025-07-02,TRANSFERÊNCIA RECEBIDA,11806.59,C,REF0000020040
2025-07-25,TRANSFERÊNCIA RECEBIDA,16731.37,C,REF0000020041
2025-07-07,SALÁRIO DEPOSITADO,15888.18,C,REF0000020042
2025-07-06,DOC RECEBIDO,18085.17,C,REF0000020043
2025-07-13,TRANSFERÊNCIA RECEBIDA,9895.65,C,REF0000020044
2025-07-20,PAGAMENTO CLIENTE,11762.47,C,REF0000020045
2025-07-29,TED RECEBIDA,15978.85,C,REF0000020046
2025-07-14,RENDIMENTO POUPANÇA,5610.19,C,REF0000020047
2025-07-07,SALÁRIO DEPOSITADO,5520.79,C,REF0000020048
2025-07-29,CRÉDITO FOLHA,8827.16,C,REF0000020049
2025-07-06,PAGAMENTO CLIENTE,18435.21,C,REF0000020050
2025-07-31,DEVOLUÇÃO BOLETO,16624.48,C,REF0000020051
2025-07-13,DEVOLUÇÃO BOLETO,11030.44,C,REF0000020052
2025-07-31,CRÉDITO FOLHA,5503.16,C,REF0000020053
2025-07-28,DEVOLUÇÃO BOLETO,5769.46,C,REF0000020054
2025-07-29,CRÉDITO FOLHA,15679.71,C,REF0000020055
2025-07-28,RENDIMENTO POUPANÇA,18827.98,C,REF0000020056
2025-07-16,RENDIMENTO POUPANÇA,8690.16,C,REF0000020057
2025-07-25,SALÁRIO DEPOSITADO,10255.93,C,REF0000020058
2025-07-25,SALÁRIO DEPOSITADO,11984.62,C,REF0000020059
2025-07-30,PAGAMENTO CLIENTE,12282.97,C,REF0000020060
2025-07-12,DOC RECEBIDO,18271.31,C,REF0000020061
2025-07-25,RENDIMENTO POUPANÇA,24102.6,C,REF0000020062
2025-07-14,PAGAMENTO CLIENTE,13586.8,C,REF0000020063
2025-07-14,TRANSFERÊNCIA RECEBIDA,22906.12,C,REF0000020064
2025-07-29,DEVOLUÇÃO BOLETO,11490.48,C,REF0000020065
2025-07-16,TRANSFERÊNCIA RECEBIDA,17205.58,C,REF0000020066
2025-07-04,DEVOLUÇÃO BOLETO,18571.59,C,REF0000020067
2025-07-31,DEVOLUÇÃO BOLETO,14809.09,C,REF0000020068
2025-07-15,REEMBOLSO DESPESA,21094.14,C,REF0000020069
2025-07-14,CRÉDITO FOLHA,15698.58,C,REF0000020070
2025-07-03,DEVOLUÇÃO BOLETO,23222.44,C,REF0000020071
2025-07-21,CRÉDITO FOLHA,4106.9,C,REF0000020072
2025-07-05,CRÉDITO FOLHA,1921.7,C,REF0000020073
2025-07-14,DEVOLUÇÃO BOLETO,22065.34,C,REF0000020074
2025-07-10,PIX RECEBIDO,13471.44,C,REF0000020075
2025-07-09,REEMBOLSO DESPESA,22043.91,C,REF0000020076
2025-07-16,CRÉDITO FOLHA,10567.37,C,REF0000020077
2025-07-28,PIX RECEBIDO,16122.05,C,REF0000020078
2025-07-26,PIX RECEBIDO,18723.96,C,REF0000020079
2025-07-14,REEMBOLSO DESPESA,19818.38,C,REF0000020080
2025-07-08,REEMBOLSO DESPESA,21270.88,C,REF0000020081
2025-07-17,DOC RECEBIDO,13567.46,C,REF0000020082
2025-07-04,RENDIMENTO POUPANÇA,10413.71,C,REF0000020083
2025-07-11,TRANSFERÊNCIA RECEBIDA,11486.69,C,REF0000020084
2025-07-01,DOC RECEBIDO,1801.35,C,REF0000020085
2025-07-06,DOC RECEBIDO,16634.04,C,REF0000020086
2025-07-06,TED RECEBIDA,9563.41,C,REF0000020087
2025-07-18,SALÁRIO DEPOSITADO,19570.12,C,REF0000020088
2025-07-27,CRÉDITO FOLHA,2090.15,C,REF0000020089
2025-07-09,RENDIMENTO POUPANÇA,17390.0,C,REF0000020090
2025-07-29,REEMBOLSO DESPESA,18038.6,C,REF0000020091
2025-07-13,TRANSFERÊNCIA RECEBIDA,21332.08,C,REF0000020092
2025-07-29,TED RECEBIDA,7448.76,C,REF0000020093
2025-07-15,PAGAMENTO CLIENTE,22013.58,C,REF0000020094
2025-07-21,TRANSFERÊNCIA RECEBIDA,7914.49,C,REF0000020095
2025-07-05,TED RECEBIDA,3925.36,C,REF0000020096
2025-07-09,DEVOLUÇÃO BOLETO,17411.87,C,REF0000020097
2025-07-20,PAGAMENTO CLIENTE,10377.11,C,REF0000020098
2025-07-11,PAGAMENTO CLIENTE,7377.27,C,REF0000020099
2025-07-11,SALÁRIO DEPOSITADO,6987.61,C,REF0000020100
2025-07-19,RENDIMENTO POUPANÇA,13405.17,C,REF0000020101
2025-07-22,CRÉDITO FOLHA,15931.24,C,REF0000020102
2025-07-14,TED RECEBIDA,16047.88,C,REF0000020103
2025-07-31,SALÁRIO DEPOSITADO,15497.04,C,REF0000020104
2025-07-23,CRÉDITO FOLHA,9877.72,C,REF0000020105
2025-07-18,DOC RECEBIDO,9682.14,C,REF0000020106
2025-07-03,DEVOLUÇÃO BOLETO,18399.47,C,REF0000020107
2025-07-19,PIX RECEBIDO,4810.19,C,REF0000020108
2025-07-18,TED RECEBIDA,17877.69,C,REF0000020109
2025-07-25,RENDIMENTO POUPANÇA,3883.7,C,REF0000020110
2025-07-25,SALÁRIO DEPOSITADO,15143.84,C,REF0000020111
2025-07-10,TED RECEBIDA,3267.87,C,REF0000020112
2025-07-08,REEMBOLSO DESPESA,22533.5,C,REF0000020113
2025-07-19,PIX RECEBIDO,6670.85,C,REF0000020114
2025-07-30,TED RECEBIDA,14392.59,C,REF0000020115
2025-07-22,DEVOLUÇÃO BOLETO,21992.62,C,REF0000020116
2025-07-20,DEVOLUÇÃO BOLETO,1867.82,C,REF0000020117
2025-07-20,TED RECEBIDA,19244.47,C,REF0000020118
2025-07-02,RENDIMENTO POUPANÇA,16982.26,C,REF0000020119
2025-07-20,DEVOLUÇÃO BOLETO,2449.57,C,REF0000020120
2025-07-07,PAGAMENTO CLIENTE,13185.44,C,REF0000020121
2025-07-12,RENDIMENTO POUPANÇA,7872.02,C,REF0000020122
2025-07-06,RENDIMENTO POUPANÇA,15730.0,C,REF0000020123
2025-07-06,RENDIMENTO POUPANÇA,3865.08,C,REF0000020124
