data,descricao,valor,tipo,referencia
2025-08-21,DÉBITO AUTOMÁTICO,-21676.81,D,REF0000030001
2025-08-07,SAQUE ATM,-115218.95,D,REF0000030002
2025-08-06,COMPRA CARTÃO,-37143.63,D,REF0000030003
2025-08-15,PAGAMENTO SALÁRIO,-34458.22,D,REF0000030004
2025-08-17,DÉBITO AUTOMÁTICO,-94588.87,D,REF0000030005
2025-08-28,TED ENVIADA,-66673.49,D,REF0000030006
2025-08-05,TARIFA BANCÁRIA,-103101.31,D,REF0000030007
2025-08-13,PIX ENVIADO,-855.94,D,REF0000030008
2025-08-20,TARIFA BANCÁRIA,-13969.62,D,REF0000030009
2025-08-01,BOLETO PAGO,-120396.39,D,REF0000030010
2025-08-14,PAGAMENTO FORNECEDOR,-35648.32,D,REF0000030011
2025-08-09,IOF,-67717.07,D,REF0000030012
2025-08-06,BOLETO PAGO,-46429.78,D,REF0000030013
2025-08-18,IOF,-76786.93,D,REF0000030014
2025-08-20,TARIFA BANCÁRIA,-2126.19,D,REF0000030015
2025-08-20,DÉBITO AUTOMÁTICO,-9736.27,D,REF0000030016
2025-08-23,PIX ENVIADO,-65143.6,D,REF0000030017
2025-08-14,SAQUE ATM,-87002.19,D,REF0000030018
2025-08-25,IOF,-59015.43,D,REF0000030019
2025-08-19,BOLETO PAGO,-125590.61,D,REF0000030020
2025-08-06,PAGAMENTO SALÁRIO,-57062.13,D,REF0000030021
2025-08-28,TRANSFERÊNCIA ENVIADA,-142124.56,D,REF0000030022
2025-08-10,PAGAMENTO SALÁRIO,-65407.04,D,REF0000030023
2025-08-03,TRANSFERÊNCIA ENVIADA,-126729.21,D,REF0000030024
2025-08-02,PAGAMENTO SALÁRIO,-136085.34,D,REF0000030025
2025-08-04,IOF,-38924.26,D,REF0000030026
2025-08-27,DÉBITO AUTOMÁTICO,-147605.68,D,REF0000030027
2025-08-28,COMPRA CARTÃO,-149653.69,D,REF0000030028
2025-08-21,COMPRA CARTÃO,-38926.23,D,REF0000030029
2025-08-24,DÉBITO AUTOMÁTICO,-75568.37,D,REF0000030030
2025-08-12,SAQUE ATM,-46050.26,D,REF0000030031
2025-08-08,TED ENVIADA,-70432.25,D,REF0000030032
2025-08-15,PAGAMENTO SALÁRIO,-103336.01,D,REF0000030033
2025-08-09,TARIFA BANCÁRIA,-17133.45,D,REF0000030034
2025-08-24,PAGAMENTO FORNECEDOR,-25513.18,D,REF0000030035
2025-08-27,PAGAMENTO SALÁRIO,-87510.99,D,REF0000030036
2025-08-25,IOF,-26589.71,D,REF0000030037
2025-08-26,BOLETO PAGO,-32639.41,D,REF0000030038
2025-08-14,SAQUE ATM,-70531.73,D,REF0000030039
2025-08-25,DÉBITO AUTOMÁTICO,-144149.18,D,REF0000030040
2025-08-10,PAGAMENTO SALÁRIO,-110178.4,D,REF0000030041
2025-08-25,DÉBITO AUTOMÁTICO,-19649.45,D,REF0000030042
2025-08-14,DÉBITO AUTOMÁTICO,-89309.24,D,REF0000030043
2025-08-21,COMPRA CARTÃO,-103444.67,D,REF0000030044
2025-08-07,PIX ENVIADO,-41633.0,D,REF0000030045
2025-08-24,PIX ENVIADO,-133888.68,D,REF0000030046
2025-08-04,PAGAMENTO SALÁRIO,-4673.15,D,REF0000030047
2025-08-13,TARIFA BANCÁRIA,-127543.59,D,REF0000030048
2025-08-10,TRANSFERÊNCIA ENVIADA,-62649.66,D,REF0000030049
2025-08-18,TARIFA BANCÁRIA,-54185.97,D,REF0000030050
2025-08-07,BOLETO PAGO,-148514.83,D,REF0000030051
2025-08-10,TARIFA BANCÁRIA,-20899.32,D,REF0000030052
2025-08-24,COMPRA CARTÃO,-118524.65,D,REF0000030053
2025-08-13,COMPRA CARTÃO,-37082.08,D,REF0000030054
2025-08-05,BOLETO PAGO,-62876.6,D,REF0000030055
2025-08-20,PAGAMENTO FORNECEDOR,-116241.82,D,REF0000030056
2025-08-27,SAQUE ATM,-144508.35,D,REF0000030057
2025-08-22,IOF,-55044.24,D,REF0000030058
2025-08-29,TRANSFERÊNCIA ENVIADA,-55603.88,D,REF0000030059
2025-08-01,PAGAMENTO SALÁRIO,-95341.88,D,REF0000030060
2025-08-27,TARIFA BANCÁRIA,-145992.55,D,REF0000030061
2025-08-01,PAGAMENTO FORNECEDOR,-105126.05,D,REF0000030062
2025-08-26,TARIFA BANCÁRIA,-17399.75,D,REF0000030063
2025-08-13,PAGAMENTO SALÁRIO,-95516.07,D,REF0000030064
2025-08-03,TRANSFERÊNCIA ENVIADA,-11447.15,D,REF0000030065
2025-08-15,PAGAMENTO SALÁRIO,-135079.36,D,REF0000030066
2025-08-04,PIX ENVIADO,-72532.26,D,REF0000030067
2025-08-04,TED ENVIADA,-137176.64,D,REF0000030068
2025-08-24,COMPRA CARTÃO,-138841.39,D,REF0000030069
2025-08-21,TED ENVIADA,-115919.06,D,REF0000030070
2025-08-07,BOLETO PAGO,-57377.11,D,REF0000030071
2025-08-20,TARIFA BANCÁRIA,-10835.47,D,REF0000030072
2025-08-03,PAGAMENTO FORNECEDOR,-41362.33,D,REF0000030073
2025-08-15,PAGAMENTO FORNECEDOR,-17416.63,D,REF0000030074
2025-08-11,SAQUE ATM,-131358.01,D,REF0000030075
2025-08-13,TED ENVIADA,-6338.33,D,REF0000030076
2025-08-15,TRANSFERÊNCIA ENVIADA,-30697.91,D,REF0000030077
2025-08-01,COMPRA CARTÃO,-132132.73,D,REF0000030078
2025-08-27,IOF,-55684.02,D,REF0000030079
2025-08-04,BOLETO PAGO,-111482.64,D,REF0000030080
2025-08-03,COMPRA CARTÃO,-130827.12,D,REF0000030081
2025-08-18,TRANSFERÊNCIA ENVIADA,-6251.64,D,REF0000030082
2025-08-01,PIX ENVIADO,-124504.17,D,REF0000030083
2025-08-10,DÉBITO AUTOMÁTICO,-96847.16,D,REF0000030084
2025-08-05,PIX ENVIADO,-33533.5,D,REF0000030085
2025-08-05,TARIFA BANCÁRIA,-69184.8,D,REF0000030086
2025-08-13,PAGAMENTO SALÁRIO,-112627.24,D,REF0000030087
2025-08-10,TRANSFERÊNCIA ENVIADA,-50716.77,D,REF0000030088
2025-08-14,PAGAMENTO SALÁRIO,-22332.38,D,REF0000030089
2025-08-01,PAGAMENTO FORNECEDOR,-94462.09,D,REF0000030090
2025-08-06,PAGAMENTO FORNECEDOR,-125214.85,D,REF0000030091
2025-08-30,TARIFA BANCÁRIA,-57705.91,D,REF0000030092
2025-08-26,SAQUE ATM,-25161.7,D,REF0000030093
2025-08-23,TARIFA BANCÁRIA,-67066.54,D,REF0000030094
2025-08-10,TED ENVIADA,-96380.84,D,REF0000030095
2025-08-15,PIX ENVIADO,-37349.36,D,REF0000030096
2025-08-17,TRANSFERÊNCIA ENVIADA,-51285.95,D,REF0000030097
2025-08-03,IOF,-129756.32,D,REF0000030098
2025-08-28,DÉBITO AUTOMÁTICO,-41810.02,D,REF0000030099
2025-08-14,BOLETO PAGO,-146526.6,D,REF0000030100
2025-08-05,DÉBITO AUTOMÁTICO,-108320.43,D,REF0000030101
2025-08-26,PIX ENVIADO,-88992.0,D,REF0000030102
2025-08-24,DÉBITO AUTOMÁTICO,-56771.25,D,REF0000030103
2025-08-10,TED ENVIADA,-57528.87,D,REF0000030104
2025-08-24,PAGAMENTO FORNECEDOR,-141104.7,D,REF0000030105
2025-08-28,PAGAMENTO FORNECEDOR,-30665.83,D,REF0000030106
2025-08-16,SAQUE ATM,-112024.1,D,REF0000030107
2025-08-23,BOLETO PAGO,-45419.35,D,REF0000030108
2025-08-27,TRANSFERÊNCIA ENVIADA,-81262.11,D,REF0000030109
2025-08-28,DÉBITO AUTOMÁTICO,-47290.03,D,REF0000030110
2025-08-10,PAGAMENTO FORNECEDOR,-8141.23,D,REF0000030111
2025-08-08,DÉBITO AUTOMÁTICO,-98667.74,D,REF0000030112
2025-08-10,TRANSFERÊNCIA ENVIADA,-83868.1,D,REF0000030113
2025-08-05,COMPRA CARTÃO,-73541.11,D,REF0000030114
2025-08-16,TRANSFERÊNCIA ENVIADA,-119571.16,D,REF0000030115
2025-08-21,BOLETO PAGO,-120268.53,D,REF0000030116
2025-08-15,TRANSFERÊNCIA ENVIADA,-46125.17,D,REF0000030117
2025-08-31,PAGAMENTO FORNECEDOR,-136917.8,D,REF0000030118
2025-08-06,BOLETO PAGO,-88645.45,D,REF0000030119
2025-08-11,DÉBITO AUTOMÁTICO,-138902.29,D,REF0000030120
2025-08-01,DÉBITO AUTOMÁTICO,-52051.1,D,REF0000030121
2025-08-05,DÉBITO AUTOMÁTICO,-109348.61,D,REF0000030122
2025-08-04,PIX ENVIADO,-18756.83,D,REF0000030123
2025-08-20,TRANSFERÊNCIA ENVIADA,-45380.9,D,REF0000030124
2025-08-25,TED ENVIADA,-60218.49,D,REF0000030125
2025-08-15,IOF,-124532.76,D,REF0000030126
2025-08-12,DÉBITO AUTOMÁTICO,-79248.52,D,REF0000030127
2025-08-02,PAGAMENTO SALÁRIO,-31707.04,D,REF0000030128
2025-08-23,IOF,-108334.25,D,REF0000030129
2025-08-13,SAQUE ATM,-93181.88,D,REF0000030130
2025-08-20,SAQUE ATM,-140060.12,D,REF0000030131
2025-08-08,TARIFA BANCÁRIA,-26920.57,D,REF0000030132
2025-08-30,TARIFA BANCÁRIA,-85194.48,D,REF0000030133
2025-08-02,PIX ENVIADO,-139454.08,D,REF0000030134
2025-08-29,PAGAMENTO SALÁRIO,-112035.45,D,REF0000030135
2025-08-24,COMPRA CARTÃO,-19613.68,D,REF0000030136
2025-08-20,TARIFA BANCÁRIA,-53011.43,D,REF0000030137
2025-08-06,PAGAMENTO SALÁRIO,-50533.88,D,REF0000030138
2025-08-13,COMPRA CARTÃO,-130020.17,D,REF0000030139
2025-08-27,IOF,-104132.39,D,REF0000030140
2025-08-24,PAGAMENTO SALÁRIO,-123431.38,D,REF0000030141
2025-08-27,BOLETO PAGO,-33120.32,D,REF0000030142
2025-08-12,DÉBITO AUTOMÁTICO,-54140.15,D,REF0000030143
2025-08-26,IOF,-79859.82,D,REF0000030144
2025-08-04,TARIFA BANCÁRIA,-5276.45,D,REF0000030145
2025-08-03,TED ENVIADA,-110844.4,D,REF0000030146
2025-08-16,TED ENVIADA,-67013.76,D,REF0000030147
2025-08-12,TARIFA BANCÁRIA,-36023.59,D,REF0000030148
2025-08-05,SAQUE ATM,-83799.03,D,REF0000030149
2025-08-21,TRANSFERÊNCIA ENVIADA,-133796.2,D,REF0000030150
2025-08-03,COMPRA CARTÃO,-26865.56,D,REF0000030151
2025-08-10,TRANSFERÊNCIA ENVIADA,-51299.09,D,REF0000030152
2025-08-16,PAGAMENTO FORNECEDOR,-47064.11,D,REF0000030153
2025-08-03,IOF,-132942.89,D,REF0000030154
2025-08-08,TED ENVIADA,-68912.65,D,REF0000030155
2025-08-29,PAGAMENTO SALÁRIO,-48886.84,D,REF0000030156
2025-08-29,COMPRA CARTÃO,-91481.09,D,REF0000030157
2025-08-22,PAGAMENTO FORNECEDOR,-104598.63,D,REF0000030158
2025-08-30,PIX ENVIADO,-87879.64,D,REF0000030159
2025-08-18,DÉBITO AUTOMÁTICO,-52797.33,D,REF0000030160
2025-08-11,BOLETO PAGO,-134542.19,D,REF0000030161
2025-08-07,IOF,-65266.21,D,REF0000030162
2025-08-07,DÉBITO AUTOMÁTICO,-91831.35,D,REF0000030163
2025-08-28,TARIFA BANCÁRIA,-101160.7,D,REF0000030164
2025-08-25,TED ENVIADA,-19137.71,D,REF0000030165
2025-08-20,PAGAMENTO SALÁRIO,-23554.01,D,REF0000030166
2025-08-14,PAGAMENTO FORNECEDOR,-92649.73,D,REF0000030167
2025-08-24,PAGAMENTO SALÁRIO,-99310.12,D,REF0000030168
2025-08-10,PAGAMENTO FORNECEDOR,-105699.04,D,REF0000030169
2025-08-16,IOF,-23398.92,D,REF0000030170
2025-08-08,COMPRA CARTÃO,-49911.89,D,REF0000030171
2025-08-26,IOF,-59854.06,D,REF0000030172
2025-08-15,TRANSFERÊNCIA ENVIADA,-20947.33,D,REF0000030173
2025-08-02,COMPRA CARTÃO,-129267.55,D,REF0000030174
2025-08-20,SAQUE ATM,-124119.55,D,REF0000030175
2025-08-30,PAGAMENTO SALÁRIO,-89121.16,D,REF0000030176
2025-08-11,PAGAMENTO FORNECEDOR,-96426.7,D,REF0000030177
2025-08-17,SAQUE ATM,-144888.37,D,REF0000030178
2025-08-10,DÉBITO AUTOMÁTICO,-49779.7,D,REF0000030179
2025-08-27,DÉBITO AUTOMÁTICO,-12268.83,D,REF0000030180
2025-08-04,TARIFA BANCÁRIA,-85992.75,D,REF0000030181
2025-08-03,TED ENVIADA,-114995.49,D,REF0000030182
2025-08-23,PAGAMENTO SALÁRIO,-48316.33,D,REF0000030183
2025-08-31,DÉBITO AUTOMÁTICO,-81518.34,D,REF0000030184
2025-08-24,SAQUE ATM,-4758.55,D,REF0000030185
2025-08-17,TED ENVIADA,-126533.18,D,REF0000030186
2025-08-26,PAGAMENTO SALÁRIO,-6672.54,D,REF0000030187
2025-08-25,TARIFA BANCÁRIA,-1962.45,D,REF0000030188
2025-08-06,TARIFA BANCÁRIA,-146552.56,D,REF0000030189
2025-08-24,COMPRA CARTÃO,-35018.88,D,REF0000030190
2025-08-28,COMPRA CARTÃO,-18799.63,D,REF0000030191
2025-08-22,TRANSFERÊNCIA ENVIADA,-26172.09,D,REF0000030192
2025-08-13,COMPRA CARTÃO,-13800.57,D,REF0000030193
2025-08-27,PIX ENVIADO,-14444.36,D,REF0000030194
2025-08-26,TARIFA BANCÁRIA,-66312.16,D,REF0000030195
2025-08-03,IOF,-93207.91,D,REF0000030196
2025-08-17,DÉBITO AUTOMÁTICO,-97373.78,D,REF0000030197
2025-08-31,COMPRA CARTÃO,-43724.94,D,REF0000030198
2025-08-01,TARIFA BANCÁRIA,-41006.21,D,REF0000030199
2025-08-10,PAGAMENTO SALÁRIO,-1094.47,D,REF0000030200
2025-08-25,PAGAMENTO SALÁRIO,-117493.31,D,REF0000030201
2025-08-24,IOF,-134665.02,D,REF0000030202
2025-08-04,DÉBITO AUTOMÁTICO,-73553.43,D,REF0000030203
2025-08-29,DÉBITO AUTOMÁTICO,-97413.79,D,REF0000030204
