data,descricao,valor,tipo,referencia
2025-09-06,RENDIMENTO POUPANÇA,19546.6,C,REF0000041926
2025-09-22,DEVOLUÇÃO BOLETO,10065.59,C,REF0000041912
2025-09-02,REEMBOLSO DESPESA,7545.34,C,REF0000040587
2025-09-13,DEVOLUÇÃO BOLETO,46090.12,C,REF0000040863
2025-09-01,TED RECEBIDA,71252.14,C,REF0000041175
2025-09-15,BOLETO PAGO,-204.01,D,REF0000041462
2025-09-30,DÉBITO AUTOMÁTICO,-79302.27,D,REF0000041824
2025-09-25,TRANSFERÊNCIA ENVIADA,-14628.36,D,REF0000040545
2025-09-03,COMPRA CARTÃO,-39877.79,D,REF0000040812
2025-09-28,REEMBOLSO DESPESA,35491.35,C,REF0000040616
2025-09-15,TRANSFERÊNCIA ENVIADA,-43863.04,D,REF0000040428
2025-09-21,PAGAMENTO CLIENTE,63475.75,C,REF0000041387
2025-09-14,TED ENVIADA,-25581.32,D,REF0000041646
2025-09-24,TED RECEBIDA,50768.24,C,REF0000041291
2025-09-06,TED RECEBIDA,40049.2,C,REF0000041604
2025-09-18,TRANSFERÊNCIA ENVIADA,-57437.48,D,REF0000041965
2025-09-08,BOLETO PAGO,-59099.66,D,REF0000041211
2025-09-26,TED RECEBIDA,76498.86,C,REF0000041761
2025-09-29,TRANSFERÊNCIA RECEBIDA,53055.29,C,REF0000040832
2025-09-13,TED RECEBIDA,42575.02,C,REF0000041958
2025-09-21,DÉBITO AUTOMÁTICO,-74732.02,D,REF0000041900
2025-09-19,RENDIMENTO POUPANÇA,20770.61,C,REF0000041311
2025-09-05,TARIFA BANCÁRIA,-4591.67,D,REF0000041021
2025-09-01,TARIFA BANCÁRIA,-19972.23,D,REF0000040559
2025-09-21,COMPRA CARTÃO,-6655.58,D,REF0000041777
2025-09-19,TRANSFERÊNCIA RECEBIDA,67522.97,C,REF0000041128
2025-09-21,PIX ENVIADO,-37971.96,D,REF0000040602
2025-09-25,PAGAMENTO CLIENTE,20442.66,C,REF0000040110
2025-09-15,PAGAMENTO FORNECEDOR,-29139.32,D,REF0000041261
2025-09-03,PAGAMENTO FORNECEDOR,-27497.77,D,REF0000041246
2025-09-29,TED ENVIADA,-34243.48,D,REF0000040252
2025-09-20,TED RECEBIDA,14719.09,C,REF0000041376
2025-09-28,DOC RECEBIDO,-7301.95,C,REF0000000476
2025-09-02,DEVOLUÇÃO BOLETO,39282.98,C,REF0000041134
2025-09-08,TRANSFERÊNCIA ENVIADA,-11046.78,D,REF0000040742
2025-09-22,PAGAMENTO SALÁRIO,-67774.1,D,REF0000040890
2025-09-29,SALÁRIO DEPOSITADO,69612.61,C,REF0000041521
2025-09-17,CRÉDITO FOLHA,13895.46,C,REF0000040553
2025-09-18,DÉBITO AUTOMÁTICO,-12018.82,D,REF0000041049
2025-09-08,DOC RECEBIDO,66479.34,C,REF0000040730
2025-09-01,BOLETO PAGO,-12422.8,D,REF0000040722
2025-09-28,CRÉDITO FOLHA,68188.35,C,REF0000041988
2025-09-06,CRÉDITO FOLHA,66071.25,C,REF0000040563
2025-09-02,TARIFA BANCÁRIA,-74749.05,D,REF0000040166
2025-09-12,PIX RECEBIDO,78664.53,C,REF0000040135
2025-09-03,DEVOLUÇÃO BOLETO,44551.23,C,REF0000041626
2025-09-03,BOLETO PAGO,-15571.57,D,REF0000041682
2025-09-12,DÉBITO AUTOMÁTICO,-57576.53,D,REF0000041079
2025-09-30,TARIFA BANCÁRIA,-22722.0,D,REF0000041689
2025-09-30,DÉBITO AUTOMÁTICO,-67267.3,D,REF0000041983
2025-09-17,RENDIMENTO POUPANÇA,12254.94,C,REF0000040729
2025-09-02,RENDIMENTO POUPANÇA,8527.56,C,REF0000040664
2025-09-20,DÉBITO AUTOMÁTICO,-65986.87,D,REF0000041808
2025-09-19,SAQUE ATM,-6963.24,D,REF0000040566
2025-09-13,DOC RECEBIDO,77966.59,C,REF0000040139
2025-09-10,BOLETO PAGO,-56735.24,D,REF0000041593
2025-09-05,DOC RECEBIDO,15278.66,C,REF0000040889
2025-09-24,PIX ENVIADO,-60519.74,D,REF0000041060
2025-09-10,SALÁRIO DEPOSITADO,50058.41,C,REF0000040901
2025-09-17,IOF,-39081.66,D,REF0000041529
2025-09-10,SALÁRIO DEPOSITADO,50058.41,C,REF0000040901
2025-09-20,TRANSFERÊNCIA RECEBIDA,32377.05,C,REF0000041648
2025-09-02,PAGAMENTO CLIENTE,64446.85,C,REF0000040108
2025-09-15,SAQUE ATM,-4648.21,D,REF0000040128
2025-09-18,TED ENVIADA,-46949.06,D,REF0000041555
2025-09-21,IOF,-73034.57,D,REF0000041821
2025-09-07,PIX ENVIADO,-55625.61,D,REF0000041792
2025-09-08,PIX RECEBIDO,16728.33,C,REF0000040185
2025-09-16,PIX RECEBIDO,1297.32,C,REF0000040304
2025-09-28,IOF,-26981.25,D,REF0000040411
2025-09-05,DOC RECEBIDO,431.08,C,REF0000041476
2025-09-22,DÉBITO AUTOMÁTICO,-69897.64,D,REF0000041590
2025-09-05,PIX RECEBIDO,40063.9,C,REF0000040779
2025-09-23,TARIFA BANCÁRIA,-58073.8,D,REF0000041920
2025-09-10,TED RECEBIDA,27836.87,C,REF0000040251
2025-09-02,DEVOLUÇÃO BOLETO,-24099.98,C,REF0000000600
2025-09-06,DÉBITO AUTOMÁTICO,-13128.55,D,REF0000041446
2025-09-04,TRANSFERÊNCIA RECEBIDA,62849.92,C,REF0000041528
2025-09-13,TRANSFERÊNCIA RECEBIDA,54983.48,C,REF0000041780
2025-09-29,REEMBOLSO DESPESA,21073.87,C,REF0000040773
2025-09-30,PAGAMENTO CLIENTE,49069.27,C,REF0000041952
2025-09-21,PIX RECEBIDO,411.66,C,REF0000041757
2025-09-07,TRANSFERÊNCIA ENVIADA,-4063.74,D,REF0000041621
2025-09-11,COMPRA CARTÃO,-42601.05,D,REF0000041339
2025-09-06,TED RECEBIDA,31449.81,C,REF0000041093
2025-09-03,CRÉDITO FOLHA,56587.87,C,REF0000040629
2025-09-17,TED ENVIADA,-49131.57,D,REF0000040265
2025-09-29,SAQUE ATM,-7780.69,D,REF0000040266
2025-09-26,TED ENVIADA,60657.91,D,REF0000000895
2025-09-12,PIX ENVIADO,-17349.54,D,REF0000041795
2025-09-03,BOLETO PAGO,-6115.33,D,REF0000041992
2025-09-15,TED ENVIADA,-68704.13,D,REF0000041181
2025-09-23,TED RECEBIDA,431.08,C,REF0000040510
2025-09-11,REEMBOLSO DESPESA,49935.71,C,REF0000041169
2025-09-19,TED ENVIADA,-6225.74,D,REF0000041964
2025-09-30,CRÉDITO FOLHA,-57077.15,C,REF0000000856
2025-09-14,DÉBITO AUTOMÁTICO,-69464.49,D,REF0000040738
2025-09-09,RENDIMENTO POUPANÇA,18449.98,C,REF0000041946
2025-09-22,RENDIMENTO POUPANÇA,21483.39,C,REF0000041103
2025-09-29,TED ENVIADA,-78540.76,D,REF0000040569
2025-09-13,TRANSFERÊNCIA RECEBIDA,21853.19,C,REF0000041736
2025-09-03,CRÉDITO FOLHA,56587.87,C,REF0000040629
2025-09-12,TED ENVIADA,-68611.66,D,REF0000040761
2025-09-19,PAGAMENTO FORNECEDOR,-29414.25,D,REF0000040349
2025-09-06,TED ENVIADA,-76896.07,D,REF0000040378
2025-09-30,TRANSFERÊNCIA ENVIADA,-17724.14,D,REF0000040610
2025-09-30,TRANSFERÊNCIA RECEBIDA,12950.91,C,REF0000041562
2025-09-10,BOLETO PAGO,-67094.83,D,REF0000040605
2025-09-10,PIX RECEBIDO,-10070.74,C,REF0000000905
2025-09-01,DEVOLUÇÃO BOLETO,72238.36,C,REF0000040064
2025-09-17,TED ENVIADA,-50148.97,D,REF0000040959
2025-09-09,PAGAMENTO FORNECEDOR,-32872.84,D,REF0000040580
2025-09-10,DÉBITO AUTOMÁTICO,-55465.26,D,REF0000041804
2025-09-26,TARIFA BANCÁRIA,-55001.86,D,REF0000040698
2025-09-10,CRÉDITO FOLHA,70958.95,C,REF0000040407
2025-09-12,SALÁRIO DEPOSITADO,28956.17,C,REF0000041722
2025-09-13,PAGAMENTO CLIENTE,-16414.49,C,REF0000001772
2025-09-09,PAGAMENTO CLIENTE,2598.39,C,REF0000040781
2025-09-25,REEMBOLSO DESPESA,42025.24,C,REF0000041862
2025-09-04,IOF,-31211.01,D,REF0000040643
2025-09-21,COMPRA CARTÃO,-76457.46,D,REF0000041951
2025-09-06,DEVOLUÇÃO BOLETO,30967.48,C,REF0000041101
2025-09-25,TRANSFERÊNCIA ENVIADA,-53869.06,D,REF0000041154
2025-09-03,SALÁRIO DEPOSITADO,15097.14,C,REF0000041189
2025-09-21,TED ENVIADA,20438.17,D,REF0000001657
2025-09-24,BOLETO PAGO,-67736.47,D,REF0000041502
2025-09-25,TARIFA BANCÁRIA,-48369.18,D,REF0000040623
2025-09-15,COMPRA CARTÃO,-49556.51,D,REF0000040022
2025-09-23,SAQUE ATM,-44912.25,D,REF0000041740
2025-09-20,RENDIMENTO POUPANÇA,279.0,C,REF0000041627
2025-09-17,DEVOLUÇÃO BOLETO,11983.02,C,REF0000040828
2025-09-09,RENDIMENTO POUPANÇA,47451.59,C,REF0000041271
2025-09-19,TRANSFERÊNCIA RECEBIDA,54492.05,C,REF0000041641
2025-09-28,SAQUE ATM,-37456.82,D,REF0000040923
2025-09-16,TRANSFERÊNCIA ENVIADA,-38491.27,D,REF0000041235
2025-09-30,PAGAMENTO CLIENTE,20028.75,C,REF0000040236
2025-09-06,DÉBITO AUTOMÁTICO,-39792.34,D,REF0000040229
2025-09-04,CRÉDITO FOLHA,-54677.7,C,REF0000000813
2025-09-18,PAGAMENTO CLIENTE,45970.75,C,REF0000041680
2025-09-30,TED ENVIADA,-58893.68,D,REF0000040014
2025-09-26,TED ENVIADA,-39470.83,D,REF0000040578
2025-09-23,RENDIMENTO POUPANÇA,79744.84,C,REF0000040478
2025-09-19,SALÁRIO DEPOSITADO,57273.52,C,REF0000040377
2025-09-05,PAGAMENTO SALÁRIO,-30904.23,D,REF0000040743
2025-09-06,BOLETO PAGO,-58275.77,D,REF0000041905
2025-09-04,PIX RECEBIDO,40844.39,C,REF0000040590
2025-09-23,CRÉDITO FOLHA,21040.68,C,REF0000041749
2025-09-04,REEMBOLSO DESPESA,10217.54,C,REF0000041247
2025-09-28,TARIFA BANCÁRIA,-44952.88,D,REF0000041332
2025-09-26,SALÁRIO DEPOSITADO,4404.93,C,REF0000040942
2025-09-14,CRÉDITO FOLHA,40152.58,C,REF0000040934
2025-09-19,RENDIMENTO POUPANÇA,53011.88,C,REF0000040067
2025-09-28,PIX ENVIADO,-9367.06,D,REF0000040866
2025-09-17,SAQUE ATM,-70177.91,D,REF0000041799
2025-09-17,SALÁRIO DEPOSITADO,73615.46,C,REF0000040691
2025-09-11,REEMBOLSO DESPESA,63254.05,C,REF0000040870
2025-09-28,PAGAMENTO SALÁRIO,-31220.07,D,REF0000040508
2025-09-28,PAGAMENTO SALÁRIO,-31220.07,D,REF0000040508
2025-09-25,RENDIMENTO POUPANÇA,32449.75,C,REF0000040759
2025-09-06,TRANSFERÊNCIA RECEBIDA,76457.59,C,REF0000040310
2025-09-15,TED ENVIADA,-73778.96,D,REF0000041595
2025-09-02,TED RECEBIDA,44547.38,C,REF0000041975
2025-09-24,DÉBITO AUTOMÁTICO,-35075.65,D,REF0000040755
2025-09-23,TRANSFERÊNCIA RECEBIDA,-39307.6,C,REF0000002140
2025-09-25,REEMBOLSO DESPESA,17895.11,C,REF0000040891
2025-09-06,IOF,-39902.2,D,REF0000040626
2025-09-11,COMPRA CARTÃO,-28461.67,D,REF0000040353
2025-09-19,TRANSFERÊNCIA RECEBIDA,56075.0,C,REF0000040558
2025-09-16,COMPRA CARTÃO,-7397.88,D,REF0000040071
2025-09-22,PAGAMENTO FORNECEDOR,12202.34,D,REF0000000550
2025-09-05,COMPRA CARTÃO,-7341.52,D,REF0000040744
2025-09-08,TED ENVIADA,20383.13,D,REF0000000949
2025-09-06,SALÁRIO DEPOSITADO,55410.57,C,REF0000041851
2025-09-22,RENDIMENTO POUPANÇA,18031.74,C,REF0000040066
2025-09-02,PAGAMENTO SALÁRIO,27525.44,D,REF0000000260
2025-09-11,TRANSFERÊNCIA RECEBIDA,56506.18,C,REF0000040929
2025-09-07,TRANSFERÊNCIA ENVIADA,-50099.04,D,REF0000040647
2025-09-08,SALÁRIO DEPOSITADO,4473.81,C,REF0000040140
2025-09-04,DEVOLUÇÃO BOLETO,61520.95,C,REF0000040333
2025-09-19,PIX ENVIADO,-31430.12,D,REF0000040213
2025-09-01,SAQUE ATM,-20958.36,D,REF0000040998
2025-09-29,CRÉDITO FOLHA,33313.04,C,REF0000040940
2025-09-25,PAGAMENTO FORNECEDOR,-2789.13,D,REF0000040415
2025-09-30,SAQUE ATM,-16120.48,D,REF0000040502
2025-09-19,RENDIMENTO POUPANÇA,55505.44,C,REF0000041433
2025-09-19,TARIFA BANCÁRIA,-68712.97,D,REF0000041063
2025-09-14,TRANSFERÊNCIA RECEBIDA,3060.84,C,REF0000040573
2025-09-20,CRÉDITO FOLHA,63300.49,C,REF0000040340
2025-09-16,DOC RECEBIDO,16965.78,C,REF0000041124
2025-09-10,PAGAMENTO CLIENTE,76512.17,C,REF0000041461
2025-09-13,PAGAMENTO SALÁRIO,-59.86,D,REF0000040492
2025-09-25,TRANSFERÊNCIA ENVIADA,-58962.87,D,REF0000041273
2025-09-03,PIX RECEBIDO,21625.31,C,REF0000041434
2025-09-07,PIX RECEBIDO,31927.79,C,REF0000041478
2025-09-02,RENDIMENTO POUPANÇA,72533.01,C,REF0000041629
2025-09-03,PIX ENVIADO,-67784.29,D,REF0000041043
2025-09-09,DOC RECEBIDO,8242.29,C,REF0000041237
2025-09-25,RENDIMENTO POUPANÇA,42275.72,C,REF0000040143
2025-09-08,TRANSFERÊNCIA ENVIADA,-31137.69,D,REF0000041372
2025-09-05,RENDIMENTO POUPANÇA,17222.98,C,REF0000041908
