data,descricao,valor,tipo,referencia
2025-10-30,SALÁRIO DEPOSITADO,13661.19,C,REF0000100001
2025-02-22,PIX RECEBIDO,49663.19,C,REF0000100002
2025-01-25,TED ENVIADA,-64806.67,D,REF0000100003
2025-07-11,TED RECEBIDA,10812.44,C,REF0000100004
2025-03-13,TRANSFERÊNCIA RECEBIDA,77888.76,C,REF0000100005
2025-11-03,COMPRA CARTÃO,-54309.23,D,REF0000100006
2025-09-07,PAGAMENTO CLIENTE,49618.58,C,REF0000100007
2025-06-21,RENDIMENTO POUPANÇA,48235.82,C,REF0000100008
2025-03-20,TRANSFERÊNCIA RECEBIDA,31602.66,C,REF0000100009
2025-01-09,SALÁRIO DEPOSITADO,48079.37,C,REF0000100010
2025-02-18,PIX RECEBIDO,62378.83,C,REF0000100011
2025-03-16,COMPRA CARTÃO,-46877.7,D,REF0000100012
2025-08-29,PAGAMENTO CLIENTE,8928.96,C,REF0000100013
2025-08-30,SAQUE ATM,-28118.65,D,REF0000100014
2025-03-17,TED RECEBIDA,14902.08,C,REF0000100015
2025-12-08,PIX ENVIADO,-73912.93,D,REF0000100016
2025-11-19,TED ENVIADA,-10032.53,D,REF0000100017
2025-10-21,TRANSFERÊNCIA ENVIADA,-64416.11,D,REF0000100018
2025-10-06,RENDIMENTO POUPANÇA,12810.83,C,REF0000100019
2025-01-23,DÉBITO AUTOMÁTICO,-20421.39,D,REF0000100020
2025-06-19,TED ENVIADA,-34598.25,D,REF0000100021
2025-01-29,DOC RECEBIDO,55489.31,C,REF0000100022
2025-05-27,PAGAMENTO SALÁRIO,-66164.21,D,REF0000100023
2025-12-31,TARIFA BANCÁRIA,-5315.92,D,REF0000100024
2025-12-19,DEVOLUÇÃO BOLETO,27910.44,C,REF0000100025
2025-02-26,DOC RECEBIDO,23605.46,C,REF0000100026
2025-05-12,DOC RECEBIDO,56682.76,C,REF0000100027
2025-02-17,COMPRA CARTÃO,-58891.61,D,REF0000100028
2025-09-14,PIX RECEBIDO,4483.56,C,REF0000100029
2025-09-01,TRANSFERÊNCIA RECEBIDA,64634.81,C,REF0000100030
2025-06-08,TARIFA BANCÁRIA,-73481.54,D,REF0000100031
2025-03-09,TARIFA BANCÁRIA,-35415.14,D,REF0000100032
2025-08-02,DEVOLUÇÃO BOLETO,72501.5,C,REF0000100033
2025-06-19,CRÉDITO FOLHA,34492.89,C,REF0000100034
2025-08-24,PIX RECEBIDO,25308.56,C,REF0000100035
2025-11-24,TRANSFERÊNCIA RECEBIDA,63169.1,C,REF0000100036
2025-12-14,RENDIMENTO POUPANÇA,48128.27,C,REF0000100037
2025-12-15,TED RECEBIDA,71741.96,C,REF0000100038
2025-08-02,SALÁRIO DEPOSITADO,73138.16,C,REF0000100039
2025-07-16,TED RECEBIDA,56198.31,C,REF0000100040
2025-03-27,TRANSFERÊNCIA RECEBIDA,30929.57,C,REF0000100041
2025-12-10,BOLETO PAGO,-4326.03,D,REF0000100042
2025-07-06,DOC RECEBIDO,3076.8,C,REF0000100043
2025-01-18,SALÁRIO DEPOSITADO,1373.59,C,REF0000100044
2025-10-03,PIX RECEBIDO,66759.69,C,REF0000100045
2025-02-27,PAGAMENTO SALÁRIO,-56768.89,D,REF0000100046
2025-02-26,RENDIMENTO POUPANÇA,42896.34,C,REF0000100047
2025-02-22,TARIFA BANCÁRIA,-64103.59,D,REF0000100048
2025-10-06,PAGAMENTO CLIENTE,56558.91,C,REF0000100049
2025-02-08,SALÁRIO DEPOSITADO,4343.59,C,REF0000100050
2025-09-16,PAGAMENTO FORNECEDOR,-11456.44,D,REF0000100051
2025-02-07,TRANSFERÊNCIA RECEBIDA,42354.06,C,REF0000100052
2025-09-16,SALÁRIO DEPOSITADO,24246.8,C,REF0000100053
2025-12-19,PIX ENVIADO,-40370.96,D,REF0000100054
2025-11-24,TRANSFERÊNCIA RECEBIDA,1173.2,C,REF0000100055
2025-03-23,DÉBITO AUTOMÁTICO,-49348.88,D,REF0000100056
2025-10-29,PIX ENVIADO,-70103.78,D,REF0000100057
2025-03-12,COMPRA CARTÃO,-42413.35,D,REF0000100058
2025-10-03,CRÉDITO FOLHA,67377.73,C,REF0000100059
2025-05-31,DEVOLUÇÃO BOLETO,73233.19,C,REF0000100060
2025-11-21,TRANSFERÊNCIA RECEBIDA,18101.47,C,REF0000100061
2025-11-11,PAGAMENTO SALÁRIO,-20058.71,D,REF0000100062
2025-05-09,DEVOLUÇÃO BOLETO,63622.24,C,REF0000100063
2025-05-09,SALÁRIO DEPOSITADO,53704.31,C,REF0000100064
2025-11-17,PAGAMENTO CLIENTE,14057.79,C,REF0000100065
2025-01-17,TED ENVIADA,-63439.43,D,REF0000100066
2025-08-04,TED RECEBIDA,50690.69,C,REF0000100067
2025-05-18,TRANSFERÊNCIA RECEBIDA,71369.58,C,REF0000100068
2025-10-27,COMPRA CARTÃO,-19509.24,D,REF0000100069
2025-12-01,SAQUE ATM,-23029.08,D,REF0000100070
2025-05-16,COMPRA CARTÃO,-54452.64,D,REF0000100071
2025-04-17,COMPRA CARTÃO,-77864.76,D,REF0000100072
2025-09-08,REEMBOLSO DESPESA,59586.6,C,REF0000100073
2025-08-17,DÉBITO AUTOMÁTICO,-15230.59,D,REF0000100074
2025-01-28,TED RECEBIDA,64628.17,C,REF0000100075
2025-02-20,DOC RECEBIDO,63458.36,C,REF0000100076
2025-07-19,DÉBITO AUTOMÁTICO,-20473.18,D,REF0000100077
2025-12-03,PAGAMENTO CLIENTE,7246.59,C,REF0000100078
2025-07-10,TED ENVIADA,-54246.4,D,REF0000100079
2025-08-02,PIX RECEBIDO,57078.12,C,REF0000100080
2025-02-20,COMPRA CARTÃO,-72311.84,D,REF0000100081
2025-03-08,TRANSFERÊNCIA ENVIADA,-23123.36,D,REF0000100082
2025-02-28,REEMBOLSO DESPESA,30462.63,C,REF0000100083
2025-09-28,RENDIMENTO POUPANÇA,9212.13,C,REF0000100084
2025-03-09,COMPRA CARTÃO,-13157.65,D,REF0000100085
2025-02-20,IOF,-67471.83,D,REF0000100086
2025-08-30,RENDIMENTO POUPANÇA,5031.81,C,REF0000100087
2025-09-16,PIX RECEBIDO,55018.73,C,REF0000100088
2025-11-19,PAGAMENTO FORNECEDOR,-15450.51,D,REF0000100089
2025-04-11,RENDIMENTO POUPANÇA,12992.79,C,REF0000100090
2025-04-07,TED ENVIADA,-73261.13,D,REF0000100091
2025-12-20,REEMBOLSO DESPESA,5581.0,C,REF0000100092
2025-03-08,TARIFA BANCÁRIA,-72589.62,D,REF0000100093
2025-04-12,CRÉDITO FOLHA,22104.95,C,REF0000100094
2025-08-18,TRANSFERÊNCIA ENVIADA,-9908.25,D,REF0000100095
2025-08-16,TRANSFERÊNCIA RECEBIDA,52572.24,C,REF0000100096
2025-04-30,RENDIMENTO POUPANÇA,60818.81,C,REF0000100097
2025-09-18,PAGAMENTO FORNECEDOR,-68498.98,D,REF0000100098
2025-12-13,TED ENVIADA,-11380.26,D,REF0000100099
2025-06-12,DÉBITO AUTOMÁTICO,-25341.64,D,REF0000100100
2025-09-09,DOC RECEBIDO,63189.18,C,REF0000100101
2025-08-14,RENDIMENTO POUPANÇA,69883.5,C,REF0000100102
2025-12-09,COMPRA CARTÃO,-24017.75,D,REF0000100103
2025-09-20,SAQUE ATM,-85.43,D,REF0000100104
2025-03-17,TARIFA BANCÁRIA,-12001.99,D,REF0000100105
2025-01-28,SALÁRIO DEPOSITADO,31781.09,C,REF0000100106
2025-08-06,PAGAMENTO CLIENTE,5921.67,C,REF0000100107
2025-09-24,CRÉDITO FOLHA,52081.67,C,REF0000100108
2025-01-23,DOC RECEBIDO,58321.96,C,REF0000100109
2025-11-21,REEMBOLSO DESPESA,64833.62,C,REF0000100110
2025-11-07,BOLETO PAGO,-35821.88,D,REF0000100111
2025-12-02,SAQUE ATM,-53378.5,D,REF0000100112
2025-02-19,REEMBOLSO DESPESA,43628.6,C,REF0000100113
2025-12-30,SALÁRIO DEPOSITADO,70746.55,C,REF0000100114
2025-12-14,PIX ENVIADO,-54193.19,D,REF0000100115
2025-06-24,PIX ENVIADO,-75663.29,D,REF0000100116
2025-01-10,RENDIMENTO POUPANÇA,40989.59,C,REF0000100117
2025-06-02,TARIFA BANCÁRIA,-72670.75,D,REF0000100118
2025-09-10,PAGAMENTO CLIENTE,64607.84,C,REF0000100119
2025-07-08,TED ENVIADA,-66523.31,D,REF0000100120
2025-06-12,PAGAMENTO CLIENTE,13242.47,C,REF0000100121
2025-04-14,TARIFA BANCÁRIA,-68589.08,D,REF0000100122
2025-01-31,PAGAMENTO SALÁRIO,-66052.45,D,REF0000100123
2025-12-26,DOC RECEBIDO,17884.2,C,REF0000100124
2025-11-05,CRÉDITO FOLHA,39850.66,C,REF0000100125
2025-03-31,PAGAMENTO CLIENTE,9467.93,C,REF0000100126
2025-02-01,DEVOLUÇÃO BOLETO,19867.77,C,REF0000100127
2025-01-12,CRÉDITO FOLHA,36297.36,C,REF0000100128
2025-07-22,CRÉDITO FOLHA,21256.5,C,REF0000100129
2025-03-08,REEMBOLSO DESPESA,56667.83,C,REF0000100130
2025-08-19,RENDIMENTO POUPANÇA,2864.68,C,REF0000100131
2025-09-11,PAGAMENTO FORNECEDOR,-32347.87,D,REF0000100132
2025-07-26,PAGAMENTO SALÁRIO,-15838.3,D,REF0000100133
2025-10-11,BOLETO PAGO,-26022.03,D,REF0000100134
2025-08-07,TARIFA BANCÁRIA,-32262.49,D,REF0000100135
2025-01-08,PIX RECEBIDO,17607.99,C,REF0000100136
2025-07-22,TED RECEBIDA,21829.66,C,REF0000100137
2025-04-10,BOLETO PAGO,-64986.76,D,REF0000100138
2025-02-05,PIX RECEBIDO,29309.41,C,REF0000100139
2025-01-04,PIX RECEBIDO,47458.27,C,REF0000100140
2025-03-02,DEVOLUÇÃO BOLETO,10927.78,C,REF0000100141
2025-02-18,PAGAMENTO FORNECEDOR,-53119.48,D,REF0000100142
2025-02-10,DÉBITO AUTOMÁTICO,-58716.04,D,REF0000100143
2025-11-08,SAQUE ATM,-27868.22,D,REF0000100144
2025-11-09,PIX ENVIADO,-3601.98,D,REF0000100145
2025-04-25,TRANSFERÊNCIA RECEBIDA,51237.41,C,REF0000100146
2025-05-08,TED ENVIADA,-56324.14,D,REF0000100147
2025-06-24,COMPRA CARTÃO,-76845.82,D,REF0000100148
2025-03-05,BOLETO PAGO,-34269.79,D,REF0000100149
2025-07-02,SAQUE ATM,-36682.96,D,REF0000100150
2025-10-01,RENDIMENTO POUPANÇA,48924.89,C,REF0000100151
2025-02-20,REEMBOLSO DESPESA,51732.58,C,REF0000100152
2025-06-04,TED RECEBIDA,29913.1,C,REF0000100153
2025-10-27,COMPRA CARTÃO,-7771.25,D,REF0000100154
2025-09-20,DÉBITO AUTOMÁTICO,-4584.59,D,REF0000100155
2025-09-09,PIX ENVIADO,-26845.59,D,REF0000100156
2025-11-09,DÉBITO AUTOMÁTICO,-45076.27,D,REF0000100157
2025-08-31,TRANSFERÊNCIA ENVIADA,-72488.81,D,REF0000100158
2025-02-06,SAQUE ATM,-28876.53,D,REF0000100159
2025-02-25,PIX RECEBIDO,23373.87,C,REF0000100160
2025-01-29,TRANSFERÊNCIA ENVIADA,-10723.62,D,REF0000100161
2025-06-01,TED ENVIADA,-2077.17,D,REF0000100162
2025-12-26,TRANSFERÊNCIA ENVIADA,-34464.71,D,REF0000100163
2025-03-24,TED ENVIADA,-13694.51,D,REF0000100164
2025-01-19,DOC RECEBIDO,36748.07,C,REF0000100165
2025-03-01,BOLETO PAGO,-17836.74,D,REF0000100166
2025-11-20,TED RECEBIDA,23804.47,C,REF0000100167
2025-08-07,PAGAMENTO FORNECEDOR,-37084.72,D,REF0000100168
2025-08-05,TARIFA BANCÁRIA,-8875.21,D,REF0000100169
2025-04-11,TRANSFERÊNCIA RECEBIDA,3206.09,C,REF0000100170
2025-07-24,TARIFA BANCÁRIA,-8009.59,D,REF0000100171
2025-05-19,TRANSFERÊNCIA RECEBIDA,40115.93,C,REF0000100172
2025-06-07,TRANSFERÊNCIA ENVIADA,-41144.97,D,REF0000100173
2025-06-18,BOLETO PAGO,-72621.86,D,REF0000100174
2025-06-21,COMPRA CARTÃO,-69466.72,D,REF0000100175
2025-02-10,DÉBITO AUTOMÁTICO,-9637.88,D,REF0000100176
2025-05-08,PIX RECEBIDO,33709.28,C,REF0000100177
2025-04-01,DÉBITO AUTOMÁTICO,-10216.05,D,REF0000100178
2025-12-02,SAQUE ATM,-44694.12,D,REF0000100179
2025-02-10,PAGAMENTO SALÁRIO,-68096.02,D,REF0000100180
2025-12-26,COMPRA CARTÃO,-59062.68,D,REF0000100181
2025-10-07,REEMBOLSO DESPESA,45443.8,C,REF0000100182
2025-12-16,DEVOLUÇÃO BOLETO,62506.79,C,REF0000100183
2025-01-17,DEVOLUÇÃO BOLETO,8117.98,C,REF0000100184
2025-10-11,SALÁRIO DEPOSITADO,69440.57,C,REF0000100185
2025-01-21,COMPRA CARTÃO,-26618.91,D,REF0000100186
2025-11-06,PAGAMENTO SALÁRIO,-71765.76,D,REF0000100187
2025-01-28,IOF,-27551.43,D,REF0000100188
2025-01-20,PAGAMENTO FORNECEDOR,-37955.26,D,REF0000100189
2025-09-08,SAQUE ATM,-75776.87,D,REF0000100190
2025-09-08,TED ENVIADA,-4383.66,D,REF0000100191
2025-03-15,PIX ENVIADO,-24672.55,D,REF0000100192
2025-08-22,PAGAMENTO SALÁRIO,-29054.83,D,REF0000100193
2025-03-29,RENDIMENTO POUPANÇA,10002.12,C,REF0000100194
2025-04-14,PAGAMENTO SALÁRIO,-1694.46,D,REF0000100195
2025-05-02,SALÁRIO DEPOSITADO,30495.86,C,REF0000100196
2025-01-09,TED RECEBIDA,70111.55,C,REF0000100197
2025-09-02,TRANSFERÊNCIA ENVIADA,-23881.62,D,REF0000100198
2025-06-07,SAQUE ATM,-31147.17,D,REF0000100199
2025-01-20,TARIFA BANCÁRIA,-50793.79,D,REF0000100200
2025-04-10,SAQUE ATM,-32894.24,D,REF0000100201
2025-06-24,PIX RECEBIDO,33249.76,C,REF0000100202
2025-12-19,TARIFA BANCÁRIA,-39463.39,D,REF0000100203
2025-11-10,DEVOLUÇÃO BOLETO,20912.63,C,REF0000100204
2025-04-07,DOC RECEBIDO,33330.89,C,REF0000100205
2025-02-23,SALÁRIO DEPOSITADO,48063.48,C,REF0000100206
2025-09-04,PIX RECEBIDO,54903.93,C,REF0000100207
2025-04-18,PIX RECEBIDO,54572.36,C,REF0000100208
2025-01-29,PAGAMENTO FORNECEDOR,-37729.43,D,REF0000100209
2025-09-20,TRANSFERÊNCIA RECEBIDA,75774.72,C,REF0000100210
2025-09-25,REEMBOLSO DESPESA,68716.3,C,REF0000100211
2025-07-31,SAQUE ATM,-73367.79,D,REF0000100212
2025-05-30,PAGAMENTO FORNECEDOR,-40771.68,D,REF0000100213
2025-07-11,TED RECEBIDA,65835.87,C,REF0000100214
2025-04-29,SALÁRIO DEPOSITADO,47812.83,C,REF0000100215
2025-03-26,TRANSFERÊNCIA RECEBIDA,53123.45,C,REF0000100216
2025-02-28,PIX ENVIADO,-48528.81,D,REF0000100217
2025-04-20,DÉBITO AUTOMÁTICO,-4404.51,D,REF0000100218
2025-09-20,CRÉDITO FOLHA,22388.4,C,REF0000100219
2025-09-29,TARIFA BANCÁRIA,-38302.38,D,REF0000100220
2025-04-28,COMPRA CARTÃO,-19888.67,D,REF0000100221
2025-12-17,COMPRA CARTÃO,-14275.99,D,REF0000100222
2025-04-22,DEVOLUÇÃO BOLETO,7274.54,C,REF0000100223
2025-07-05,TRANSFERÊNCIA ENVIADA,-41720.39,D,REF0000100224
2025-04-02,DOC RECEBIDO,2870.16,C,REF0000100225
2025-03-13,CRÉDITO FOLHA,922.37,C,REF0000100226
2025-08-08,TED ENVIADA,-4890.27,D,REF0000100227
2025-06-12,COMPRA CARTÃO,-25896.61,D,REF0000100228
2025-02-27,PAGAMENTO CLIENTE,27681.73,C,REF0000100229
